series_number,part_number,item_number,level,title,call_number,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,description,subjects,topics,people,places
01,09,422,ITEM,"Item 422: Tribune negatives including portrait photos of women, portrait photos of men, construction site, 1969?",ON 161/Item 422,1337263,110374775,1969?,1969-01-01 00:00:00,1969-12-31 00:00:00,29 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374775,http://archival.sl.nsw.gov.au/Details/archive/110374751,33,FL4556066|FL4556067|FL4556068|FL4556069|FL4556070|FL4556071|FL4556075|FL4556076|FL4556077|FL4556079|FL4556080|FL4556082|FL4556084|FL4556086|FL4556087|FL4556089|FL4556090|FL4556091|FL4556093|FL4556096|FL4556098|FL4556102|FL4556105|FL4556109|FL4556112|FL4556115|FL4556116|FL4556118|FL4556120|FL4556122|FL4556124|FL4556125|FL4556127,"Includes:|Portrait photos of women, Rows 1-4, row 5 no. 1-2.|Group photos of men, Row 5 no. 3-4, row 6 no. 1-2|Construction site, Row 6 no. 3-4.",,men|women|construction sites,,
01,09,423,ITEM,"Item 423: Tribune negatives including a ferry excursion to a carnival, April 1969?",ON 161/Item 423,1337265,110374777,1969?,1969-04-01 00:00:00,1969-04-30 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374777,http://archival.sl.nsw.gov.au/Details/archive/110374751,36,FL4556740|FL4556743|FL4556744|FL4556746|FL4556748|FL4556752|FL4556754|FL4556758|FL4556760|FL4556762|FL4556764|FL4556767|FL4556770|FL4556773|FL4556774|FL4556775|FL4556776|FL4556777|FL4556778|FL4556779|FL4556780|FL4556781|FL4556782|FL4556783|FL4556784|FL4556785|FL4556786|FL4556787|FL4556788|FL4556789|FL4556790|FL4556791|FL4556792|FL4556793|FL4556794|FL4556795,"Includes:|Unidentified excursion with children involving a ferry journey and a fair. Includes views of a city from the ferry, an Easter display at Coles and a Ferris wheel, April 1969?",,children|carnivals|ferris wheels|ferries|ferry terminals|groups (people),,
01,09,424,ITEM,"Item 424: Tribune negatives including people at the Royal Agricultural Society Showground, Sydney for the Easter Show and participants and speakers at a Left Action Conference, Sydney, April 1969",ON 161/Item 424,1337271,110374780,1969,1969-01-01 00:00:00,1969-04-30 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374780,http://archival.sl.nsw.gov.au/Details/archive/110374751,36,FL4554537|FL4554538|FL4554539|FL4554540|FL4554541|FL4554542|FL4554546|FL4554547|FL4554548|FL4554550|FL4554553|FL4554554|FL4554556|FL4554558|FL4554560|FL4554564|FL4554566|FL4554571|FL4554573|FL4554576|FL4554578|FL4554580|FL4554581|FL4554583|FL4554584|FL4554586|FL4554588|FL4554590|FL4554593|FL4554595|FL4554597|FL4554598|FL4554599|FL4554601|FL4554602|FL4554604,"Includes:|People at the Royal Easter Show, Royal Agricultural Society Showground, Sydney, April 1969, Row 1 and row 2, no. 1-2|Participants and speakers at the Left Action Conference, Sydney, April 1969, Row 2, no. 3-6, row 3-6",,agricultural shows|conventions|audiences,,"Moore Park (Sydney, N.S.W.)"
01,09,425,ITEM,"Item 425: Tribune negatives including speakers and participants of the Left Action Conference, Sydney, April 1969",ON 161/Item 425,1337272,110374781,1969,1969-04-01 00:00:00,1969-04-30 00:00:00,24 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374781,http://archival.sl.nsw.gov.au/Details/archive/110374751,30,FL4554959|FL4554963|FL4554964|FL4554965|FL4554967|FL4554968|FL4554970|FL4554973|FL4554976|FL4554978|FL4554980|FL4554983|FL4554984|FL4554986|FL4554988|FL4554990|FL4554991|FL4554993|FL4554995|FL4554998|FL4555000|FL4555001|FL4555002|FL4555004|FL4555005|FL4555006|FL4555009|FL4555011|FL4555013|FL4555014,"Includes:|Speakers and participants at the Left Action Conference, Sydney, April 1969. Rows 1-6.",,audiences|conventions,,
01,09,426,ITEM,"Item 426: Tribune negatives including container wharf at White Bay, Lecture by Professor John M. Bennett, Professor of Physics and demonstration including anti Vietnam war banners",ON 161/Item 426,1337273,110374782,1969,1969-01-01 00:00:00,1969-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374782,http://archival.sl.nsw.gov.au/Details/archive/110374751,35,FL4557112|FL4557115|FL4557116|FL4557117|FL4557119|FL4557120|FL4557122|FL4557123|FL4557125|FL4557126|FL4557128|FL4557129|FL4557130|FL4557131|FL4557133|FL4557134|FL4557135|FL4557137|FL4557138|FL4557139|FL4557141|FL4557144|FL4557146|FL4557148|FL4557150|FL4557151|FL4557153|FL4557155|FL4557156|FL4557158|FL4557159|FL4557160|FL4557162|FL4557164|FL4557165,"Includes:|Container wharf at White Bay, Row 1, no. 2-3.|Professor John M. Bennett, Professor of Physics (Electronic Computing ) Sydney University speaking and audience members, Row 2-3.|Demonstration including student union and anti Vietnam war banners, Row 4-6.",,container wharves|demonstrations,"Bennett, J. M.",
01,09,427,ITEM,"Item 427: Tribune negatives including demonstration with anti-Vietnam War and anti-conscription placards, April 1969",ON 161/Item 427,1338226,110374791,April 1969,1969-04-01 00:00:00,1969-04-30 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374791,http://archival.sl.nsw.gov.au/Details/archive/110374751,36,FL4554319|FL4554323|FL4554326|FL4554328|FL4554331|FL4554332|FL4554335|FL4554339|FL4554341|FL4554342|FL4554344|FL4554346|FL4554348|FL4554350|FL4554353|FL4554355|FL4554356|FL4554359|FL4554361|FL4554362|FL4554364|FL4554366|FL4554371|FL4554372|FL4554373|FL4554376|FL4554377|FL4554378|FL4554380|FL4554383|FL4554384|FL4554385|FL4554386|FL4554390|FL4554392|FL4554396,"Original negative sleeve titled Student demo (BL's support student demands)|Includes:|Demonstration with anti-Vietnam War and anti-conscription placards, Rows 1-4.|Police officers in attendance, Row 5-6.",,demonstrations|demonstrators (political)|police|conscription,,
01,09,428,ITEM,"Item 428: Tribune negatives including demonstration with some demonstrators being arrested by police, 1969?",ON 161/Item 428,1338227,110374792,1969?,1969-01-01 00:00:00,1969-12-31 00:00:00,23 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374792,http://archival.sl.nsw.gov.au/Details/archive/110374751,29,FL4557056|FL4557060|FL4557062|FL4557064|FL4557066|FL4557068|FL4557072|FL4557076|FL4557082|FL4557087|FL4557090|FL4557092|FL4557095|FL4557098|FL4557100|FL4557102|FL4557106|FL4557107|FL4557108|FL4557109|FL4557113|FL4557114|FL4557118|FL4557121|FL4557124|FL4557127|FL4557132|FL4557136|FL4557140,"Original negative sleeve titled Students Demo (1969?) Vietnam.|Includes:|People involved in a demonstration with some demonstrators being arrested by police, Rows 1-6.",,demonstrations|police|arrests,,
01,09,429,ITEM,"Item 429: Tribune negatives including demonstration by students and members of S.O.S. (Save Our Sons) supporting anti-conscription, 1969?",ON 161/Item 429,1338230,110374795,1969?,1969-01-01 00:00:00,1969-12-31 00:00:00,33 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374795,http://archival.sl.nsw.gov.au/Details/archive/110374751,35,FL4555397|FL4555398|FL4555399|FL4555400|FL4555401|FL4555402|FL4555403|FL4555404|FL4555405|FL4555406|FL4555407|FL4555408|FL4555409|FL4555410|FL4555411|FL4555412|FL4555413|FL4555414|FL4555415|FL4555416|FL4555417|FL4555418|FL4555419|FL4555420|FL4555421|FL4555422|FL4555423|FL4555424|FL4555428|FL4555429|FL4555430|FL4555431|FL4555432|FL4555434|FL4555435,"Original negative sleeve titled Students Demo (1969?) Vietnam.|Includes:|Demonstration by students and members of S.O.S. (Save Our Sons) outside a courthouse. Anti-Vietnam War  and anti-conscription placards, Rows 1-6.|Clerks' Union May Queen, Aphrodite Kleanthis, 1969, Row 1, no. 3-5.",,conscription|demonstrations|posters & placards|civil & political rights,Save Our Sons Movement,
01,09,430,ITEM,"Item 430: Tribune negatives including participants of an anti-Vietnam War and anti-conscription demonstration, 1969?",ON 161/Item 430,1338232,110374797,1969?,1969-01-01 00:00:00,1969-12-31 00:00:00,20 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374797,http://archival.sl.nsw.gov.au/Details/archive/110374751,29,FL4556260|FL4556264|FL4556266|FL4556267|FL4556269|FL4556271|FL4556272|FL4556274|FL4556275|FL4556276|FL4556278|FL4556280|FL4556285|FL4556287|FL4556289|FL4556290|FL4556292|FL4556294|FL4556296|FL4556299|FL4556300|FL4556302|FL4556303|FL4556305|FL4556307|FL4556309|FL4556311|FL4556312|FL4556314,"Original negative sleeve titled Anti Vietnam demo|Includes:|Anti-conscription participants of demonstration with signs and placards, Row 1-4.|Police officers arrest demonstrators, Row 5-6.",,demonstrations|conscription|posters & placards|police|arrests,,
01,09,431,ITEM,"Item 431: Tribune negatives including anti-conscription and anti-Vietnam War demonstration, 1969?",ON 161/Item 431,1338233,110374798,1969?,1969-01-01 00:00:00,1969-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374798,http://archival.sl.nsw.gov.au/Details/archive/110374751,36,FL4555599|FL4555602|FL4555603|FL4555605|FL4555606|FL4555609|FL4555611|FL4555614|FL4555616|FL4555619|FL4555623|FL4555624|FL4555625|FL4555627|FL4555628|FL4555631|FL4555634|FL4555635|FL4555636|FL4555637|FL4555638|FL4555639|FL4555643|FL4555644|FL4555647|FL4555650|FL4555652|FL4555653|FL4555654|FL4555656|FL4555659|FL4555661|FL4555665|FL4555667|FL4555669|FL4555671,"Original negative sleeve titled Vietnam Demo Sydney, Tommy Hogan(?) w/sign|Includes:|Demonstrators with anti-conscription signs and speakers addressing the audience of demonstrators.",,demonstrations|demonstrators (political)|civil & political rights,,
