call_number,item_number,level,title,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,subjects,people
ON 160/Item 1051,1051,ITEM,"Item 1051: Tribune negatives including community independents BBQ and dinner, March-May 1988",1055444,110370767,March-May 1988,1988-01-01 00:00:00,1988-12-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370767,http://archival.sl.nsw.gov.au/Details/archive/110369631,0,,dinners|people in societal roles|public speaking,
ON 160/Item 1052,1052,ITEM,"Item 1052: Tribune negatives including Palestinian, Public Service Association marches and women's band, 1987-1988",1055445,110370768,1987-1988,1987-01-01 00:00:00,1988-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370768,http://archival.sl.nsw.gov.au/Details/archive/110369631,0,,demonstrations|bands|women|public servants,
ON 160/Item 1053,1053,ITEM,"Item 1053: Tribune negatives including monorail rally and Nelson Mandela birthday celebrations, protest, July 1988",1055446,110370769,July 1988,1988-01-01 00:00:00,1988-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370769,http://archival.sl.nsw.gov.au/Details/archive/110369631,0,,birthday parties|rallies|demonstrations,
ON 160/Item 1054,1054,ITEM,"Item 1054: Tribune negatives including anti-Ron Casey rally, Tribune newspaper and jumper, July-September 1988",1055448,110370771,July-September 1988,1988-01-01 00:00:00,1988-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370771,http://archival.sl.nsw.gov.au/Details/archive/110369631,0,,rallies|newspapers|jumpers (clothing),
ON 160/Item 1055,1055,ITEM,"Item 1055: Tribune negatives including migrant food shops and kids, September 1988",1055449,110370772,September 1988,1988-01-01 00:00:00,1988-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370772,http://archival.sl.nsw.gov.au/Details/archive/110369631,0,,children|migrants|shops,
ON 160/Item 1056,1056,ITEM,"Item 1056: Tribune negatives including Towers of Torture art exhibition and migrant, school kids, September 1988",1055451,110370774,September 1988,1988-01-01 00:00:00,1988-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370774,http://archival.sl.nsw.gov.au/Details/archive/110369631,0,,children|migrants|art exhibitions,
ON 160/Item 1057,1057,ITEM,"Item 1057: Tribune negatives including New Zealand peace fleet and warships, Sydney, New South Wales, September 1988",1055454,110370777,September 1988,1988-01-01 00:00:00,1988-12-31 00:00:00,34 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370777,http://archival.sl.nsw.gov.au/Details/archive/110369631,0,,warships|demonstrations|Peace movements--Australia.,
ON 160/Item 1058,1058,ITEM,"Item 1058: Tribune negatives including International Peace Bureau Conference, September 1988",1055457,110370780,September 1988,1988-01-01 00:00:00,1988-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370780,http://archival.sl.nsw.gov.au/Details/archive/110369631,0,,conventions|public speaking|peace movement,
ON 160/Item 1059,1059,ITEM,"Item 1059: Tribune negatives including International Peace Bureau Conference and Di Margetts and Irina Dunne, September 1988",1055458,110370781,September 1988,1988-01-01 00:00:00,1988-12-31 00:00:00,37 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370781,http://archival.sl.nsw.gov.au/Details/archive/110369631,0,,conventions|women|men|groups (people),
ON 160/Item 1060,1060,ITEM,"Item 1060: Tribune negatives including Hiroshima protests, Margaret Thatcher at Powerhouse Museum and Survive Radio Redfern radio station, August 1988",1055461,110370784,August 1988,1988-01-01 00:00:00,1988-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370784,http://archival.sl.nsw.gov.au/Details/archive/110369631,0,,radio stations|Aboriginal peoples (Australians)|demonstrations|politicians,
ON 160/Item 1061,1061,ITEM,"Item 1061: Tribune negatives including Gurindji land claim and deaths in custody rallies, October 1988",1055463,110370786,October 1988,1988-01-01 00:00:00,1988-12-31 00:00:00,39 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370786,http://archival.sl.nsw.gov.au/Details/archive/110369631,0,,Aboriginal peoples (Australians)|rallies|Aboriginal Australians--Mortality.|Aboriginal Australians--Criminal justice system.|Aboriginal Australians--Land tenure.,
ON 160/Item 1062,1062,ITEM,"Item 1062: Tribune negatives including deaths in custody rally, October 1988",1055466,110370789,October 1988,1988-01-01 00:00:00,1988-12-31 00:00:00,46 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370789,http://archival.sl.nsw.gov.au/Details/archive/110369631,0,,Aboriginal peoples (Australians)|rallies|Aboriginal Australians--Mortality.|Aboriginal Australians--Criminal justice system.,
ON 160/Item 1063,1063,ITEM,"Item 1063: Tribune negatives including Petra Kelly, Millie Ingram and Joyce Mokhisi, October 1988",1055468,110370791,October 1988,1988-01-01 00:00:00,1988-12-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370791,http://archival.sl.nsw.gov.au/Details/archive/110369631,0,,women|groups (people),
ON 160/Item 1064,1064,ITEM,"Item 1064: Tribune negatives including Aboriginal Islander Dance Theatre, November 1988",1055469,110370792,November 1988,1988-01-01 00:00:00,1988-12-31 00:00:00,32 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370792,http://archival.sl.nsw.gov.au/Details/archive/110369631,0,,Aboriginal peoples (Australians)|dancing|theatre groups (performers)|Aboriginal Australians--Dance.,
ON 160/Item 1065,1065,ITEM,"Item 1065: Tribune negatives including Wilderness Society, Elcom protests and Regent Theatre, Sydney, New South Wales, October-November 1988",1055472,110370795,October-November 1988,1988-01-01 00:00:00,1988-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370795,http://archival.sl.nsw.gov.au/Details/archive/110369631,0,,demonstrations|theatres & cinemas|Theaters--New South Wales--Sydney.,"Regent Theatre (Sydney, N.S.W.)"
ON 160/Item 1066,1066,ITEM,"Item 1066: Tribune negatives including Irish protests and deaths in custody rally, London, England, October-December 1988",1055473,110370796,October-December 1988,1988-01-01 00:00:00,1988-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370796,http://archival.sl.nsw.gov.au/Details/archive/110369631,0,,rallies|Aboriginal peoples (Australians)|demonstrations,
ON 160/Item 1067,1067,ITEM,"Item 1067: Tribune negatives including Aboriginal rights and shop assistants protests, October-November 1988",1055474,110370797,October-November 1988,1988-01-01 00:00:00,1988-12-31 00:00:00,39 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370797,http://archival.sl.nsw.gov.au/Details/archive/110369631,0,,demonstrations|shop assistants|Aboriginal peoples (Australians),
ON 160/Item 1068,1068,ITEM,"Item 1068: Tribune negatives including East Timor protests and Turkish, Iranian hunger strikers, December 1988",1055475,110370798,December 1988,1988-01-01 00:00:00,1988-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370798,http://archival.sl.nsw.gov.au/Details/archive/110369631,0,,demonstrations|strikes|Turks|Iranians|Strikes and lockouts--Australia,
ON 160/Item 1069,1069,ITEM,"Item 1069: Tribune negatives including Kanak people and New Caledonia, January 1989 / photographed by Carlotta McIntosh",1055476,110370799,January 1989,1989-01-01 00:00:00,1989-12-31 00:00:00,39 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370799,http://archival.sl.nsw.gov.au/Details/archive/110369631,0,,New Caledonia|Kanaks (New Caledonian people),"McIntosh, Carlotta"
ON 160/Item 1070,1070,ITEM,"Item 1070: Tribune negatives including Kanak people, January 1989 / photographed by Carlotta McIntosh",1055478,110370801,January 1989,1989-01-01 00:00:00,1989-12-31 00:00:00,26 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370801,http://archival.sl.nsw.gov.au/Details/archive/110369631,0,,Kanaks (New Caledonian people)|groups (people),"McIntosh, Carlotta"
