series_number,part_number,item_number,level,title,call_number,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,description,subjects,topics,people,places
02,05,0201,ITEM,"Item 0201: Tribune negatives including Anne Roberts, Nagife Bashar, Joan Cann and Helen Grace, May 1977",ON 160/Item 0201,1045255,110369405,May 1977,1977-01-01 00:00:00,1977-12-31 00:00:00,11 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369405,http://archival.sl.nsw.gov.au/Details/archive/110369404,11,FL4500124|FL4500127|FL4500128|FL4500131|FL4500133|FL4500135|FL4500136|FL4500139|FL4500144|FL4500147|FL4500148,"Includes:|Anne Roberts in Newcastle, May 1977|Nagife Bashar on way to Newcastle|Joan Cann|Helen Grace",,women|portraits,,
02,05,0202,ITEM,"Item 0202: Tribune negatives including Jack Cambourne at education rally, June 1977",ON 160/Item 0202,1045256,110369406,June 1977,1977-01-01 00:00:00,1977-12-31 00:00:00,13 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369406,http://archival.sl.nsw.gov.au/Details/archive/110369404,13,FL4498637|FL4498641|FL4498642|FL4498643|FL4498645|FL4498647|FL4498650|FL4498651|FL4498653|FL4498654|FL4498656|FL4498658|FL4498660,"Includes:|Jack Cambourne at education rally, June 1977",,education|rallies,,
02,05,0203,ITEM,"Item 0203: Tribune negatives including Timor rally, March 1976",ON 160/Item 0203,1045257,110369407,March 1976,1976-01-01 00:00:00,1976-12-31 00:00:00,10 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369407,http://archival.sl.nsw.gov.au/Details/archive/110369404,10,FL4497480|FL4497481|FL4497482|FL4497484|FL4497485|FL4497488|FL4497490|FL4497492|FL4497494|FL4497496,"Includes:|Timor rally, 18 March 1976|Original negative sleeve titled Timor 18/3/76",,rallies|portraits,,
02,05,0204,ITEM,"Item 0204: Tribune negatives including Timor delegation, February 1976",ON 160/Item 0204,1045258,110369408,February 1976,1976-01-01 00:00:00,1976-12-31 00:00:00,20 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369408,http://archival.sl.nsw.gov.au/Details/archive/110369404,20,FL4496974|FL4496975|FL4496976|FL4496977|FL4496978|FL4496979|FL4496980|FL4496981|FL4496982|FL4496983|FL4496984|FL4496988|FL4496990|FL4496993|FL4496994|FL4496998|FL4496999|FL4497002|FL4497004|FL4497007,"Includes:|Timor delegation, 22 February 1976|Estenislou Da Silva, Timor delegation|Abilio Arujo|Original negative sleeve titled Timor delegates 22 Feb? 76, 6 Prelim ECUDD[?]",,men|delegations,,
02,05,0205,ITEM,"Item 0205: Tribune negatives including uranium petition to [Dunber], June 1977",ON 160/Item 0205,1045259,110369409,June 1977,1977-01-01 00:00:00,1977-12-31 00:00:00,13 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369409,http://archival.sl.nsw.gov.au/Details/archive/110369404,13,FL4499192|FL4499195|FL4499196|FL4499197|FL4499199|FL4499201|FL4499202|FL4499204|FL4499206|FL4499207|FL4499208|FL4499209|FL4499211,"Includes:|Uranium petition to [Dunber] f., 19 June 1977|Greg Wier South Australia forum f., 19 June 1977",,uranium|petitions|portraits,,
02,05,0206,ITEM,"Item 0206: Tribune negatives including Amalgamated Metal Workers and Shipwrights Union at Wollongong IRB, July 1977",ON 160/Item 0206,1045261,110369410,July 1977,1977-01-01 00:00:00,1977-12-31 00:00:00,14 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369410,http://archival.sl.nsw.gov.au/Details/archive/110369404,14,FL4498911|FL4498912|FL4498913|FL4498914|FL4498915|FL4498916|FL4498917|FL4498918|FL4498919|FL4498920|FL4498921|FL4498922|FL4498923|FL4498924,"Includes:|Amalgamated Metal Workers and Shipwrights Union, at Wollongong IRB f., 19 July 1977|Central Intelligence Agency meeting, Sydney T.H. f., 19 June 1977",,metalworkers|shipwrights|meetings,,
02,05,0208,ITEM,"Item 0208: Tribune negatives including uranium vigil, Lucas Heights, New South Wales, June 1977",ON 160/Item 0208,1045262,110369411,June 1977,1977-01-01 00:00:00,1977-12-31 00:00:00,18 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369411,http://archival.sl.nsw.gov.au/Details/archive/110369404,18,FL4500301|FL4500302|FL4500303|FL4500304|FL4500305|FL4500306|FL4500307|FL4500308|FL4500309|FL4500310|FL4500311|FL4500312|FL4500313|FL4500314|FL4500315|FL4500316|FL4500317|FL4500318,"Includes:|Uranium vigil, Lucas Heights, June 1977|Lucas Heights, uranium vigil f., 19 June 1977",,uranium|demonstrations,,
02,05,0209,ITEM,"Item 0209: Tribune negatives including squatters at Campbell Street, Sydney, New South Wales, June 1977",ON 160/Item 0209,1045263,110369412,June 1977,1977-01-01 00:00:00,1900-01-01 00:00:00,18 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369412,http://archival.sl.nsw.gov.au/Details/archive/110369404,18,FL4499438|FL4499440|FL4499443|FL4499444|FL4499446|FL4499447|FL4499448|FL4499449|FL4499450|FL4499451|FL4499452|FL4499453|FL4499454|FL4499455|FL4499457|FL4499458|FL4499459|FL4499460,"Includes:|Squatters, Campbell Street, Sydney, f., 22 June 1977",,squatters (housing),,"Campbell Street (Sydney, N.S.W.)"
02,05,0210,ITEM,"Item 0210: Tribune negatives including uranium demonstration, Glebe Island, June-July 1977",ON 160/Item 0210,1045264,110369413,June-July 1977,1977-01-01 00:00:00,1977-12-31 00:00:00,30 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369413,http://archival.sl.nsw.gov.au/Details/archive/110369404,30,FL4497823|FL4497824|FL4497825|FL4497828|FL4497831|FL4497832|FL4497834|FL4497835|FL4497837|FL4497838|FL4497840|FL4497842|FL4497843|FL4497844|FL4497845|FL4497846|FL4497847|FL4497851|FL4497852|FL4497854|FL4497856|FL4497859|FL4497860|FL4497862|FL4497864|FL4497866|FL4497867|FL4497868|FL4497870|FL4497871,"Includes:|Neville Perkins, f, 22 June 1977|Glebe Island - uranium demonstration, f, 22 July 1977|Uranium demonstration, Glebe Island, f., 22 June 1977",,uranium|demonstrations,,
02,05,0211,ITEM,"Item 0211: Tribune negatives including uranium and Lucas Heights, New South Wales, June-July 1977",ON 160/Item 0211,1045265,110369414,June-July 1977,1977-01-01 00:00:00,1977-12-31 00:00:00,29 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369414,http://archival.sl.nsw.gov.au/Details/archive/110369404,29,FL4508786|FL4508787|FL4508788|FL4508789|FL4508790|FL4508791|FL4508792|FL4508793|FL4508794|FL4508795|FL4508796|FL4508797|FL4508798|FL4508799|FL4508800|FL4508801|FL4508802|FL4508803|FL4508804|FL4508808|FL4508810|FL4508813|FL4508818|FL4508822|FL4508825|FL4508827|FL4508829|FL4508831|FL4508832,"Includes:|Uranium Lucas Heights etc., f., 22 June 1977|Terry Stocker, f, 22 June 1977|Mike King, f, 22 June 1977|Lucas Heights, uranium etc. f, 22 June 1977|Port Kembla f, 22 June 1977|Atom Free Embassy, after five f., 22 July 1977",,uranium,,
