call_number,item_number,level,title,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,subjects,people
ON 160/Item 0851,0851,ITEM,"Item 0851: Tribune negatives including Norm Robinson and Allan Leavy, Brisbane, Queensland and plumbers, gas fitters and nurses meeting, August-November 1984",1055011,110370444,August-November 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,51 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370444,http://archival.sl.nsw.gov.au/Details/archive/110369627,0,,toys|meetings|Toymakers,
ON 160/Item 0852,0852,ITEM,"Item 0852: Tribune negatives including Aboriginal land rights meeting and women painting banners, November 1984",1055016,110370448,November 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,33 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370448,http://archival.sl.nsw.gov.au/Details/archive/110369627,0,,banners|women|meetings|land rights|Aboriginal peoples (Australians),
ON 160/Item 0853,0853,ITEM,"Item 0853: Tribune negatives including Medicare protests, 1984-1985",1055017,110370449,1984-1985,1984-01-01 00:00:00,1985-12-31 00:00:00,56 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370449,http://archival.sl.nsw.gov.au/Details/archive/110369627,0,,demonstrations|health services|demonstrators (political),
ON 160/Item 0854,0854,ITEM,"Item 0854: Tribune negatives including General Motors Holden picket, Victoria and United States out of Central America protest, 1984",1055019,110370451,1984,1984-01-01 00:00:00,1984-12-31 00:00:00,49 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370451,http://archival.sl.nsw.gov.au/Details/archive/110369627,0,,pickets|demonstrations|workers,
ON 160/Item 0855,0855,ITEM,"Item 0855: Tribune negatives including Women's Day march, Melbourne and abortion protest, 1984",1055020,110370452,1984,1984-01-01 00:00:00,1984-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370452,http://archival.sl.nsw.gov.au/Details/archive/110369627,0,,abortion|demonstrations|women|Women's rights--Australia.,
ON 160/Item 0856,0856,ITEM,"Item 0856: Tribune negatives including anti-uranium performance, South Australia, 1984",1055021,110370453,1984,1984-01-01 00:00:00,1984-12-31 00:00:00,21 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370453,http://archival.sl.nsw.gov.au/Details/archive/110369627,0,,demonstrations|Antinuclear movement--Australia.,
ON 160/Item 0857,0857,ITEM,"Item 0857: Tribune negatives including Chile protest into US Consulate and Junction Theatre at Everleigh Railways, New South Wales, September 1985",1055023,110370455,September 1985,1985-01-01 00:00:00,1985-12-31 00:00:00,44 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370455,http://archival.sl.nsw.gov.au/Details/archive/110369627,0,,theatrical productions|theatre companies|demonstrators (political)|Demonstrations--Australia.,
ON 160/Item 0858,0858,ITEM,"Item 0858: Tribune negatives including Australian Council of Trade Unions Congress and Poets Union, July-September 1985",1055025,110370457,July-September 1985,1985-01-01 00:00:00,1985-12-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370457,http://archival.sl.nsw.gov.au/Details/archive/110369627,0,,conventions|poets,
ON 160/Item 0859,0859,ITEM,"Item 0859: Tribune negatives including Hiroshima Day marches, Sydney, New South Wales, 1985",1055027,110370459,1985,1985-01-01 00:00:00,1985-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370459,http://archival.sl.nsw.gov.au/Details/archive/110369627,0,,demonstrations|Antinuclear movement--Australia.,
ON 160/Item 0860,0860,ITEM,"Item 0860: Tribune negatives including childcare rally and Heartlands exhibition, August 1985",1055030,110370462,August 1985,1985-01-01 00:00:00,1985-12-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370462,http://archival.sl.nsw.gov.au/Details/archive/110369627,0,,rallies|child care|art exhibitions,
ON 160/Item 0861,0861,ITEM,"Item 0861: Tribune negatives including Hiroshima Day marches, Sydney, New South Wales, August 1984",1055032,110370463,August 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370463,http://archival.sl.nsw.gov.au/Details/archive/110369627,0,,demonstrations|Antinuclear movement--Australia.,
ON 160/Item 0862,0862,ITEM,"Item 0862: Tribune negatives including Philippine protests, Melbourne, Victoria, 1985",1055033,110370464,1985,1985-01-01 00:00:00,1985-12-31 00:00:00,29 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370464,http://archival.sl.nsw.gov.au/Details/archive/110369627,0,,demonstrations|Philippine people,
ON 160/Item 0863,0863,ITEM,"Item 0863: Tribune negatives including Consumptions Tax rally, August-September 1985",1055035,110370466,August-September 1985,1985-01-01 00:00:00,1985-12-31 00:00:00,47 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370466,http://archival.sl.nsw.gov.au/Details/archive/110369627,0,,taxation|rallies,
ON 160/Item 0864,0864,ITEM,"Item 0864: Tribune negatives including anti-apartheid march, August-September 1985",1055036,110370467,August-September 1985,1985-01-01 00:00:00,1985-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370467,http://archival.sl.nsw.gov.au/Details/archive/110369627,0,,demonstrations|apartheid,
ON 160/Item 0865,0865,ITEM,"Item 0865: Tribune negatives including shop assistants protest, 1985",1055048,110370479,1985,1985-01-01 00:00:00,1985-12-31 00:00:00,26 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370479,http://archival.sl.nsw.gov.au/Details/archive/110369627,0,,shop assistants|demonstrations,
ON 160/Item 0866,0866,ITEM,"Item 0866: Tribune negatives including Gay Quire, Statue of Desire cabaret and Antil Theatre, 1985",1055049,110370480,1985,1985-01-01 00:00:00,1985-12-31 00:00:00,39 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370480,http://archival.sl.nsw.gov.au/Details/archive/110369627,0,,entertainment|theatre groups (performers),
ON 160/Item 0867,0867,ITEM,"Item 0867: Tribune negatives including Railways Union cultural exhibition and Art and Working Life exhibition banners, September 1985",1055051,110370481,September 1985,1985-01-01 00:00:00,1985-12-31 00:00:00,44 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370481,http://archival.sl.nsw.gov.au/Details/archive/110369627,0,,art exhibitions|shows & exhibitions|banners,
ON 160/Item 0868,0868,ITEM,"Item 0868: Tribune negatives including Helen Boyle press conference and eviction of squatters, Glebe, New South Wales, 1985",1055052,110370482,1985,1985-01-01 00:00:00,1985-12-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370482,http://archival.sl.nsw.gov.au/Details/archive/110369627,0,,press conferences|evictions|vandalised buildings,
