call_number,item_number,level,title,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,subjects,people
ON 160/Item 0701,0701,ITEM,"Item 0701: Tribune negatives including Left Book Shelf and Unemployed Worker's Union shop, Tasmania, 1983",1050953,110370157,1983,1983-01-01 00:00:00,1983-12-31 00:00:00,22 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370157,http://archival.sl.nsw.gov.au/Details/archive/110369624,0,,unemployed people|shops|bookshops,
ON 160/Item 0702,0702,ITEM,"Item 0702: Tribune negatives including General Motors Holden workers meeting and Builder Labourers Federation asbestos protest, June 1983",1050981,110370173,June 1983,1983-01-01 00:00:00,1983-12-31 00:00:00,20 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370173,http://archival.sl.nsw.gov.au/Details/archive/110369624,0,,workers|meetings|building labourers,
ON 160/Item 0703,0703,ITEM,"Item 0703: Tribune negatives including Aboriginal land rights march, [ca. 1983]",1051010,110370176,1983,1983-01-01 00:00:00,1983-12-31 00:00:00,16 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370176,http://archival.sl.nsw.gov.au/Details/archive/110369624,0,,land rights|Aboriginal peoples (Australians)|demonstrations,
ON 160/Item 0704,0704,ITEM,"Item 0704: Tribune negatives including participants in political economy course and Tasmania Wilderness Society Shop, June-July 1983",1051011,110370177,June-July 1983,1983-01-01 00:00:00,1983-12-31 00:00:00,24 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370177,http://archival.sl.nsw.gov.au/Details/archive/110369624,0,,shops|conventions,
ON 160/Item 0705,0705,ITEM,"Item 0705: Tribune negatives including portraits of men, July 1983",1051012,110370178,July 1983,1983-01-01 00:00:00,1983-12-31 00:00:00,10 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370178,http://archival.sl.nsw.gov.au/Details/archive/110369624,0,,portraits|men,
ON 160/Item 0706,0706,ITEM,"Item 0706: Tribune negatives including Aboriginal land rights march, [ca. 1983]",1051014,110370179,1983,1983-01-01 00:00:00,1983-12-31 00:00:00,45 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370179,http://archival.sl.nsw.gov.au/Details/archive/110369624,0,,Aboriginal peoples (Australians)|land rights|demonstrations,
ON 160/Item 0707,0707,ITEM,"Item 0707: Tribune negatives including National Aborigines Day march, Sydney, New South Wales, 1983",1051015,110370180,1983,1983-01-01 00:00:00,1983-12-31 00:00:00,34 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370180,http://archival.sl.nsw.gov.au/Details/archive/110369624,0,,Aboriginal peoples (Australians)|demonstrations,
ON 160/Item 0708,0708,ITEM,"Item 0708: Tribune negatives including Roque Rodrigues and Abilio Arauko, July 1983",1051022,110370187,July 1983,1983-01-01 00:00:00,1983-12-31 00:00:00,7 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370187,http://archival.sl.nsw.gov.au/Details/archive/110369624,0,,men,
ON 160/Item 0709,0709,ITEM,"Item 0709: Tribune negatives including Bastille Day and Captive Nations protests, July 1983",1051023,110370188,July 1983,1983-01-01 00:00:00,1983-12-31 00:00:00,27 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370188,http://archival.sl.nsw.gov.au/Details/archive/110369624,0,,demonstrations|demonstrators (political),
ON 160/Item 0710,0710,ITEM,"Item 0710: Tribune negatives including hiroshima protests, Wollongong, New South Wales, 1983",1051030,110370189,1983,1983-01-01 00:00:00,1983-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370189,http://archival.sl.nsw.gov.au/Details/archive/110369624,0,,demonstrations|meetings,
