series_number,part_number,item_number,level,title,call_number,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,description,subjects,topics,people,places
03,10,0751,ITEM,"Item 0751: Tribune negatives including Australian Council of Trade Unions Congress, Melbourne, Victoria, 1983",ON 160/Item 0751,1051239,110370302,1983,1983-01-01 00:00:00,1983-12-31 00:00:00,27 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370302,http://archival.sl.nsw.gov.au/Details/archive/110369625,27,FL4434692|FL4434693|FL4434694|FL4434695|FL4434696|FL4434697|FL4434698|FL4434699|FL4434700|FL4434701|FL4434702|FL4434703|FL4434704|FL4434705|FL4434706|FL4434707|FL4434708|FL4434709|FL4434710|FL4434711|FL4434712|FL4434713|FL4434714|FL4434715|FL4434716|FL4434717|FL4434718,"Includes:|Australian Council of Trade Unions Congress, Melbourne, 1983|Original negative sleeve titled ACTU Congress",,conventions|trade unions,,
03,10,0752,ITEM,"Item 0752: Tribune negatives including Australian Council of Trade Unions Congress, Melbourne, Victoria, 1983",ON 160/Item 0752,1051241,110370304,1983,1983-01-01 00:00:00,1983-12-31 00:00:00,25 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370304,http://archival.sl.nsw.gov.au/Details/archive/110369625,25,FL4437359|FL4437372|FL4437373|FL4437376|FL4437377|FL4437379|FL4437380|FL4437383|FL4437388|FL4437390|FL4437391|FL4437393|FL4437394|FL4437395|FL4437396|FL4437397|FL4437398|FL4437399|FL4437406|FL4437409|FL4437412|FL4437415|FL4437418|FL4437420|FL4437422,"Includes:|Australian Council of Trade Unions Congress, Melbourne, 1983|Original negative sleeve titled ACTU Congress / disarmament (Hiroshima) demo",,conventions|trade unions,,
03,10,0753,ITEM,"Item 0753: Tribune negatives including Australian Council of Trade Unions Congress, Melbourne, Victoria, 1983",ON 160/Item 0753,1051242,110370305,1983,1983-01-01 00:00:00,1983-12-31 00:00:00,37 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370305,http://archival.sl.nsw.gov.au/Details/archive/110369625,37,FL4433651|FL4433653|FL4433654|FL4433656|FL4433658|FL4433660|FL4433662|FL4433663|FL4433664|FL4433667|FL4433671|FL4433672|FL4433673|FL4433676|FL4433678|FL4433680|FL4433681|FL4433682|FL4433684|FL4433686|FL4433688|FL4433690|FL4433691|FL4433692|FL4433694|FL4433695|FL4433697|FL4433698|FL4433699|FL4433701|FL4433703|FL4433705|FL4433706|FL4433707|FL4433708|FL4433709|FL4433710,"Includes:|Australian Council of Trade Unions Congress, Melbourne, 1983|Original negative sleeve titled ACTU Congress",,conventions|trade unions,,
03,10,0754,ITEM,"Item 0754: Tribune negatives including nurses protests, Sydney, New South Wales, October 1983",ON 160/Item 0754,1051243,110370306,October 1983,1983-01-01 00:00:00,1983-12-31 00:00:00,25 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370306,http://archival.sl.nsw.gov.au/Details/archive/110369625,25,FL4435904|FL4435905|FL4435906|FL4435907|FL4435908|FL4435909|FL4435910|FL4435911|FL4435912|FL4435913|FL4435914|FL4435915|FL4435916|FL4435917|FL4435918|FL4435919|FL4435920|FL4435921|FL4435922|FL4435923|FL4435924|FL4435925|FL4435926|FL4435927|FL4435928,"Includes:|Nurses demonstration, Sydney, October 1983|Watsonia demonstration, Melbourne, October 1983|Original negative sleeve titled Nurses demonstration",,demonstrations|nurses,,
03,10,0755,ITEM,"Item 0755: Tribune negatives including building workers at construction site, Sydney, New South Wales, October 1983 / photographed by Oliver Strewe",ON 160/Item 0755,1051244,110370307,October 1983,1983-01-01 00:00:00,1983-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370307,http://archival.sl.nsw.gov.au/Details/archive/110369625,36,FL4435174|FL4435175|FL4435176|FL4435177|FL4435178|FL4435179|FL4435180|FL4435181|FL4435182|FL4435183|FL4435184|FL4435185|FL4435186|FL4435190|FL4435191|FL4435192|FL4435193|FL4435194|FL4435196|FL4435198|FL4435201|FL4435202|FL4435204|FL4435205|FL4435207|FL4435209|FL4435210|FL4435212|FL4435214|FL4435216|FL4435217|FL4435219|FL4435225|FL4435226|FL4435227|FL4435230,"Includes:|Building workers, construction site, Sydney, October 1983|Oliver Strewe's photos|Original negative sleeve titled Construction site",,construction sites|building construction|construction & demolition workers,,
03,10,0756,ITEM,"Item 0756: Tribune negatives including Technical Teachers Union of Victoria strike meeting, Melbourne, Victoria, October 1983",ON 160/Item 0756,1051248,110370309,October 1983,1983-01-01 00:00:00,1983-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370309,http://archival.sl.nsw.gov.au/Details/archive/110369625,41,FL4438639|FL4438643|FL4438644|FL4438645|FL4438646|FL4438647|FL4438649|FL4438650|FL4438651|FL4438653|FL4438655|FL4438656|FL4438657|FL4438659|FL4438660|FL4438662|FL4438663|FL4438664|FL4438665|FL4438666|FL4438667|FL4438668|FL4438670|FL4438671|FL4438672|FL4438673|FL4438674|FL4438675|FL4438677|FL4438680|FL4438681|FL4438683|FL4438685|FL4438686|FL4438687|FL4438689|FL4438690|FL4438691|FL4438692|FL4438693|FL4438695,"Includes:|Technical Teachers Union of Victoria strike meeting, Melbourne, October 1983|Grenada demonstration, Sydney, October 1983",,strikes|meetings|teachers,,
03,10,0757,ITEM,"Item 0757: Tribune negatives including Peter Duncan and Grenada protest, South Australia, [ca. 1983]",ON 160/Item 0757,1051250,110370310,1983,1983-01-01 00:00:00,1983-12-31 00:00:00,18 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370310,http://archival.sl.nsw.gov.au/Details/archive/110369625,18,FL4438389|FL4438392|FL4438393|FL4438397|FL4438402|FL4438403|FL4438404|FL4438405|FL4438411|FL4438412|FL4438413|FL4438414|FL4438415|FL4438416|FL4438418|FL4438420|FL4438421|FL4438423,Includes:|Grenada (S.A.) (head shots only)|Peter Duncan (Grenada sol),,demonstrations|demonstrators (political),,
03,10,0758,ITEM,"Item 0758: Tribune negatives including Marilyn McCormack and nurses protest, November 1983",ON 160/Item 0758,1051253,110370311,November 1983,1983-01-01 00:00:00,1983-12-31 00:00:00,26 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370311,http://archival.sl.nsw.gov.au/Details/archive/110369625,26,FL4437622|FL4437623|FL4437624|FL4437625|FL4437626|FL4437627|FL4437628|FL4437629|FL4437630|FL4437631|FL4437632|FL4437633|FL4437634|FL4437635|FL4437636|FL4437637|FL4437638|FL4437639|FL4437640|FL4437641|FL4437642|FL4437646|FL4437647|FL4437650|FL4437653|FL4437660,"Includes:|Marilyn McCormack|Nurses demonstration, November 1983",,nurses|demonstrations|women,,
03,10,0759,ITEM,"Item 0759: Tribune negatives including Humphrey McQueen, Patrick White, Franca Arena and Grenada protests, Sydney, New South Wales, October 1983",ON 160/Item 0759,1051255,110370313,October 1983,1983-01-01 00:00:00,1983-12-31 00:00:00,33 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370313,http://archival.sl.nsw.gov.au/Details/archive/110369625,33,FL4434952|FL4434957|FL4434959|FL4434961|FL4434962|FL4434965|FL4434967|FL4434969|FL4434971|FL4434973|FL4434974|FL4434976|FL4434978|FL4434979|FL4434980|FL4434982|FL4434983|FL4434985|FL4434987|FL4434990|FL4434992|FL4434993|FL4434994|FL4434999|FL4435001|FL4435002|FL4435007|FL4435010|FL4435013|FL4435015|FL4435018|FL4435020|FL4435022,"Includes:|Humphrey McQueen (in group shot on stage)|Patrick White (Citizens for Democracy)|Grenada demonstration, Sydney, October 1983|Franca Arena (at Citizens for Democracy rally)",,demonstrations|men|women,,
03,10,0760,ITEM,"Item 0760: Tribune negatives including portraits of Wyka and Gay Lib Quire at Spring dinner, April 1983",ON 160/Item 0760,1051256,110370314,April 1983,1983-01-01 00:00:00,1983-12-31 00:00:00,23 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370314,http://archival.sl.nsw.gov.au/Details/archive/110369625,23,FL4439026|FL4439027|FL4439029|FL4439030|FL4439031|FL4439032|FL4439033|FL4439034|FL4439035|FL4439036|FL4439037|FL4439038|FL4439039|FL4439040|FL4439041|FL4439042|FL4439043|FL4439044|FL4439047|FL4439048|FL4439049|FL4439050|FL4439051,"Includes:|Wyka (Polish guy see DF)|Gay Lib Quire (at Spring dinner, 83)",,men|dinners,,
