call_number,item_number,level,title,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,subjects,people
ON 160/Item 0801,0801,ITEM,"Item 0801: Tribune negatives including nuke protest and warship visit, Melbourne, Victoria, March-April 1984",1054259,110370356,March-April 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,18 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370356,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,demonstrations|warships|Antinuclear movement--Australia.,
ON 160/Item 0802,0802,ITEM,"Item 0802: Tribune negatives including Seamen's Union picket, Sydney, New South Wales, April 1984",1054262,110370357,April 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,18 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370357,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,sailors|pickets,
ON 160/Item 0803,0803,ITEM,"Item 0803: Tribune negatives including peace march, Sydney, New South Wales, April 1984",1054270,110370358,April 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,19 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370358,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,demonstrations|peace movement,
ON 160/Item 0804,0804,ITEM,"Item 0804: Tribune negatives including peace march and city council elections, Melbourne, Victoria, April 1984",1054271,110370359,April 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,26 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370359,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,demonstrations|peace movement|elections,
ON 160/Item 0805,0805,ITEM,"Item 0805: Tribune negatives including peace march, Sydney, New South Wales, April 1984",1054273,110370360,April 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,19 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370360,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,peace movement|demonstrations,
ON 160/Item 0806,0806,ITEM,"Item 0806: Tribune negatives including peace march, Melbourne, Victoria, April 1984",1054327,110370361,April 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,22 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370361,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,peace movement|demonstrations,
ON 160/Item 0807,0807,ITEM,"Item 0807: Tribune negatives including peace march, Sydney, New South Wales, April 1984",1054432,110370363,April 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,11 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370363,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,demonstrations|peace movement,
ON 160/Item 0808,0808,ITEM,"Item 0808: Tribune negatives including Medicare rally, Sydney, New South Wales, April 1984",1054433,110370364,April 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,14 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370364,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,rallies|health services,
ON 160/Item 0809,0809,ITEM,"Item 0809: Tribune negatives including industrial health picket, Melbourne, Victoria and Building Workers' Industrial Union election, [ca. 1984]",1054434,110370365,1984,1984-01-01 00:00:00,1984-12-31 00:00:00,15 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370365,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,pickets|industrial workers|construction & demolition workers,
ON 160/Item 0811,0811,ITEM,"Item 0811: Tribune negatives including Communist Party of Australia 5th District Conference and Tribune workers at Dixson Street, May 1984",1054924,110370375,May 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,30 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370375,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,conventions|newspaper offices,
ON 160/Item 0812,0812,ITEM,"Item 0812: Tribune negatives including Petra Kelly, Mundey, Felix Dias, Geri Bastiaan with Kelly Lial at Town Hall, Sydney, New South Wales, May 1984",1054925,110370376,May 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,30 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370376,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,portraits|orators,
ON 160/Item 0813,0813,ITEM,"Item 0813: Tribune negatives including May Day and peace marches, Sydney, New South Wales, May 1984",1054926,110370377,May 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,39 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370377,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,demonstrations|peace movement|May Day (Labor holiday)--New South Wales.,
ON 160/Item 0814,0814,ITEM,"Item 0814: Tribune negatives including May Day march and Australian Labor Party State Conference, Town Hall, Sydney, New South Wales, May-June 1984",1054927,110370378,May-June 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370378,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,demonstrations|conventions|May Day (Labor holiday)--New South Wales.,
ON 160/Item 0815,0815,ITEM,"Item 0815: Tribune negatives including maritime, sea fare unions and ship building industry at Cockatoo Island, June 1984",1054929,110370379,June 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,42 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370379,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,Cockatoo Island (N.S.W.)|ships|shipping industry|workers,
ON 160/Item 0816,0816,ITEM,"Item 0816: Tribune negatives including coin workers protest and Australian Labor Party State Conference, Town Hall, Sydney, June 1984",1054930,110370380,June 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370380,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,conventions|workers|demonstrations,
ON 160/Item 0817,0817,ITEM,"Item 0817: Tribune negatives including protests over death of Berlinguer and working conditions for nurses, July-August 1984",1054931,110370381,July-August 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370381,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,demonstrations|demonstrators (political)|nurses,
ON 160/Item 0818,0818,ITEM,"Item 0818: Tribune negatives including ESL teachers protest, June-July 1984",1054932,110370382,June-July 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,31 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370382,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,demonstrations|teachers,
ON 160/Item 0819,0819,ITEM,"Item 0819: Tribune negatives including Hiroshima Day marches, Sydney, New South Wales and Hobart, Tasmania, August 1984",1054933,110370383,August 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370383,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,demonstrations|nuclear bombs,
ON 160/Item 0820,0820,ITEM,"Item 0820: Tribune negatives including St. Vincent's Hospital nurses and Hiroshima Day marches, Sydney, New South Wales, August 1984",1054934,110370384,August 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370384,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,demonstrations|nurses|nuclear bombs,
ON 160/Item 0821,0821,ITEM,"Item 0821: Tribune negatives including Aboriginal National Day march, Sydney, New South Wales, August 1984",1054936,110370385,August 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,22 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370385,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,Aboriginal peoples (Australians)|demonstrations,
ON 160/Item 0822,0822,ITEM,"Item 0822: Tribune negatives including speakers and panel at Australian Labor Party Conference, July1984",1054942,110370388,July1984,1984-01-01 00:00:00,1984-12-31 00:00:00,33 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370388,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,political parties|conventions|Labor movement.,
ON 160/Item 0822a,0822,ITEM,"Item 0822a: Tribune negatives including speakers, panel and audience at Australian Labor Party Conference, June-July1984",1054943,110370389,June-July1984,1984-01-01 00:00:00,1984-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370389,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,political parties|conventions|Labor movement.,
ON 160/Item 0822b,0822,ITEM,"Item 0822b: Tribune negatives including speakers, panel and audience at Australian Labor Party Conference, June-July 1984",1054944,110370390,June-July1984,1984-01-01 00:00:00,1984-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370390,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,political parties|conventions|Labor movement.,
ON 160/Item 0822c,0822,ITEM,"Item 0822c: Tribune negatives including speakers and panel at Australian Labor Party Conference, June-July 1984",1054945,110370391,June-July1984,1984-01-01 00:00:00,1984-12-31 00:00:00,42 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370391,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,political parties|conventions|Labor movement.,
ON 160/Item 0822d,0822,ITEM,"Item 0822d: Tribune negatives including speakers and panel at Australian Labor Party Conference, June-July 1984",1054946,110370392,June-July 1984,1984-01-01 00:00:00,1984-12-31 00:00:00,42 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370392,http://archival.sl.nsw.gov.au/Details/archive/110369626,0,,political parties|conventions|Labor movement.,
