series_number,part_number,item_number,level,title,call_number,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,description,subjects,topics,people,places
03,07,0601,ITEM,"Item 0601: Tribune negatives including women's refuge demonstration and Communist Party of Australia Conference, Melbourne, Victoria, May 1981",ON 160/Item 0601,1046006,110369960,May 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369960,http://archival.sl.nsw.gov.au/Details/archive/110369621,40,FL4421882|FL4421884|FL4421886|FL4421888|FL4421891|FL4421894|FL4421895|FL4421897|FL4421898|FL4421901|FL4421904|FL4421905|FL4421908|FL4421912|FL4421914|FL4421916|FL4421917|FL4421918|FL4421922|FL4421924|FL4421925|FL4421928|FL4421930|FL4421932|FL4421939|FL4421941|FL4421944|FL4421948|FL4421949|FL4421952|FL4421953|FL4421955|FL4421958|FL4421960|FL4421962|FL4421964|FL4421966|FL4421968|FL4421969|FL4421971,"Includes:|Fox Manufacturing return after victory, May 1981|Communist Party of Australia Conference, Melbourne, May 1981|Painters & Dockers, Queensland, May 1981|Surry Street, May 1981|Women's refuge demonstration, Melbourne, May 1981|Housing, Surry Street, May 1981",,demonstrations|conventions,,
03,07,0602,ITEM,"Item 0602: Tribune negatives including May Day march and Communist Party of Australia Conference, Sydney, New South Wales, May 1981",ON 160/Item 0602,1046007,110369961,May 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369961,http://archival.sl.nsw.gov.au/Details/archive/110369621,38,FL4420832|FL4420834|FL4420837|FL4420839|FL4420841|FL4420843|FL4420844|FL4420845|FL4420848|FL4420850|FL4420851|FL4420852|FL4420854|FL4420857|FL4420860|FL4420862|FL4420864|FL4420868|FL4420869|FL4420872|FL4420874|FL4420877|FL4420879|FL4420882|FL4420883|FL4420884|FL4420885|FL4420889|FL4420890|FL4420892|FL4420895|FL4420897|FL4420900|FL4420904|FL4420905|FL4420907|FL4420910|FL4420912,"Includes:|Communist Party of Australia Conference, Sydney, May 1981|May Day, Sydney, May 1981",May Day (Labor holiday)--New South Wales.,demonstrations|conventions,,
03,07,0603,ITEM,"Item 0603: Tribune negatives including Fairfax Herald offices and staff, May 1981",ON 160/Item 0603,1046008,110369962,May 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,22 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369962,http://archival.sl.nsw.gov.au/Details/archive/110369621,22,FL4424018|FL4424019|FL4424020|FL4424021|FL4424023|FL4424025|FL4424027|FL4424028|FL4424029|FL4424031|FL4424032|FL4424034|FL4424036|FL4424038|FL4424039|FL4424040|FL4424041|FL4424042|FL4424046|FL4424049|FL4424051|FL4424053,"Includes:|Fairfax Herald 150th, May 1981|Herald 150th, Fairfax",,newspaper offices|mass media|workers,,
03,07,0604,ITEM,"Item 0604: Tribune negatives including Aboriginal embassy, Queensland, July-August 1981",ON 160/Item 0604,1046009,110369963,July-August 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,27 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369963,http://archival.sl.nsw.gov.au/Details/archive/110369621,27,FL4422677|FL4422679|FL4422681|FL4422683|FL4422684|FL4422686|FL4422688|FL4422690|FL4422691|FL4422693|FL4422694|FL4422696|FL4422697|FL4422698|FL4422699|FL4422701|FL4422703|FL4422704|FL4422706|FL4422708|FL4422709|FL4422711|FL4422714|FL4422715|FL4422717|FL4422719|FL4422721,"Includes:|Rock against racism, Sydney Town Hall dance, August 1981|Original negative sleeve titled Queensland Aboriginal Embassy, 2, 29th July '81",,embassies|Aboriginal peoples (Australians)|land rights,,
03,07,0605,ITEM,"Item 0605: Tribune negatives including Gladstone workers in Queensland and budget demonstration, Melbourne, Victoria, July-August 1981",ON 160/Item 0605,1046010,110369964,August 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369964,http://archival.sl.nsw.gov.au/Details/archive/110369621,40,FL4422749|FL4422751|FL4422753|FL4422754|FL4422756|FL4422757|FL4422759|FL4422761|FL4422763|FL4422765|FL4422766|FL4422769|FL4422771|FL4422773|FL4422775|FL4422778|FL4422780|FL4422782|FL4422783|FL4422785|FL4422786|FL4422787|FL4422789|FL4422792|FL4422795|FL4422796|FL4422798|FL4422800|FL4422802|FL4422803|FL4422805|FL4422807|FL4422809|FL4422810|FL4422813|FL4422815|FL4422816|FL4422817|FL4422821|FL4422822,"Includes:|Razor Gang demonstration, Melbourne, August 1981|Maritime (Port of Melbourne, 35 hours struggle), August 1981|Maritime (Port of Melbourne 35 hours picket), July 1981|Gladstone workers in Queensland, July 1981|Budget demonstration Melbourne, razor cuts, August 1981|Original negative sleeve titled Gladstone '81, Port of Melb (maritime - 35 hrs), Telecom",,demonstrations|workers,,
03,07,0606,ITEM,"Item 0606: Tribune negatives including squatters in The Rocks, Newton and Edgecliff, New South Wales, July 1981",ON 160/Item 0606,1046011,110369965,July 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,43 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369965,http://archival.sl.nsw.gov.au/Details/archive/110369621,43,FL4422984|FL4422988|FL4422991|FL4422992|FL4422995|FL4422998|FL4423000|FL4423002|FL4423004|FL4423006|FL4423007|FL4423009|FL4423011|FL4423012|FL4423013|FL4423014|FL4423015|FL4423016|FL4423017|FL4423018|FL4423023|FL4423024|FL4423027|FL4423030|FL4423031|FL4423032|FL4423033|FL4423035|FL4423037|FL4423039|FL4423041|FL4423042|FL4423044|FL4423046|FL4423048|FL4423050|FL4423052|FL4423054|FL4423055|FL4423057|FL4423059|FL4423060|FL4423062,"Includes:|Squatters evicted from Rocks, New South Wales, July 1981|Squatters evicted from Newtown, July 1981|Squatters Chippo Action Group Picket, July 1981|Original negative sleeve titled Rocks, Newtown, Edgecliff squatters '81, Chippo Action Group picket",,squatters (housing)|evictions,,
03,07,0607,ITEM,"Item 0607: Tribune negatives including Hiroshima Day protest, Melbourne, Victoria, August 1981",ON 160/Item 0607,1046012,110369966,August 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,47 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369966,http://archival.sl.nsw.gov.au/Details/archive/110369621,47,FL4424402|FL4424403|FL4424404|FL4424405|FL4424406|FL4424407|FL4424408|FL4424409|FL4424410|FL4424411|FL4424412|FL4424413|FL4424414|FL4424415|FL4424416|FL4424417|FL4424418|FL4424419|FL4424420|FL4424421|FL4424422|FL4424423|FL4424424|FL4424425|FL4424426|FL4424427|FL4424428|FL4424429|FL4424430|FL4424431|FL4424432|FL4424433|FL4424434|FL4424435|FL4424436|FL4424437|FL4424438|FL4424439|FL4424440|FL4424441|FL4424442|FL4424443|FL4424444|FL4424445|FL4424446|FL4424447|FL4424448,"Includes:|Peacemaker, August 1981|Hiroshima Day, Melbourne, August 1981|Original negative sleeve titled Hiroshima Day '81, Frankston - Melbourne, Peacemaker Aug. '81, Syd",,demonstrations|demonstrators (political),,
03,07,0608,ITEM,"Item 0608: Tribune negatives including pensioners rally and Ireland solidarity, Sydney, New South Wales, June-August 1981",ON 160/Item 0608,1046014,110369967,June-August 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369967,http://archival.sl.nsw.gov.au/Details/archive/110369621,41,FL4422281|FL4422283|FL4422287|FL4422288|FL4422291|FL4422292|FL4422295|FL4422296|FL4422299|FL4422301|FL4422302|FL4422304|FL4422305|FL4422307|FL4422308|FL4422309|FL4422312|FL4422314|FL4422316|FL4422317|FL4422319|FL4422321|FL4422322|FL4422325|FL4422327|FL4422328|FL4422330|FL4422332|FL4422334|FL4422335|FL4422337|FL4422339|FL4422341|FL4422344|FL4422347|FL4422348|FL4422350|FL4422352|FL4422354|FL4422356|FL4422357,"Includes:|Pensioners rally, Sydney, August 1981|Ireland solidarity, Sydney, June 1981|Budget rally, Canberra, August 1981|Original negative sleeve titled Pensioners, Anti-budget Canberra, Ireland solidarity",,rallies|demonstrations|demonstrators (political),,
03,07,0609,ITEM,"Item 0609: Tribune negatives including Women's services rally, protest, Sydney, New South Wales, August 1981",ON 160/Item 0609,1046015,110369968,August 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,42 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369968,http://archival.sl.nsw.gov.au/Details/archive/110369621,42,FL4421753|FL4421754|FL4421755|FL4421756|FL4421757|FL4421758|FL4421759|FL4421760|FL4421761|FL4421762|FL4421763|FL4421764|FL4421765|FL4421766|FL4421767|FL4421768|FL4421769|FL4421770|FL4421771|FL4421772|FL4421773|FL4421774|FL4421775|FL4421776|FL4421777|FL4421778|FL4421779|FL4421780|FL4421781|FL4421782|FL4421783|FL4421784|FL4421785|FL4421786|FL4421787|FL4421788|FL4421789|FL4421790|FL4421791|FL4421792|FL4421793|FL4421794,"Includes:|Women's services rally, budget-time, Sydney, August 1981|Budget rally '81, Canberra, August 1981|Budget rally '81, Melbourne, August 1981|Education week, sexist, Cooking with gas, August 1981|Original negative sleeve titled Budget rallies '81 Aug., Canberra, Melb., Women's services Syd.",,women|rallies|demonstrations,,
03,07,0610,ITEM,"Item 0610: Tribune negatives including Arthur Phillip High School, Parramatta, New South Wales and primary teachers strike, July 1981",ON 160/Item 0610,1046016,110369969,July 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,42 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369969,http://archival.sl.nsw.gov.au/Details/archive/110369621,42,FL4423146|FL4423148|FL4423149|FL4423151|FL4423154|FL4423157|FL4423160|FL4423163|FL4423165|FL4423167|FL4423168|FL4423170|FL4423171|FL4423173|FL4423175|FL4423178|FL4423180|FL4423183|FL4423185|FL4423186|FL4423187|FL4423188|FL4423190|FL4423192|FL4423199|FL4423201|FL4423203|FL4423205|FL4423206|FL4423208|FL4423210|FL4423212|FL4423213|FL4423214|FL4423216|FL4423217|FL4423220|FL4423223|FL4423226|FL4423228|FL4423230|FL4423232,"Includes:|Primary teachers strike, August 1981|The Kings School, Parramatta, July 1981|Arthur Phillip High School, Parramatta, July 1981|Original negative sleeve titled Parramatta, Arthur Phillip High School, Kings School, primary teachers demo. '81 NSW",,high schools|strikes|teachers,,
