series_number,part_number,item_number,level,title,call_number,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,description,subjects,topics,people,places
03,06,0551,ITEM,"Item 0551: Tribune negatives including Hiroshima demonstration, Sydney, New South Wales, August 1980",ON 160/Item 0551,1045919,110369900,August 1980,1980-01-01 00:00:00,1980-12-31 00:00:00,42 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369900,http://archival.sl.nsw.gov.au/Details/archive/110369620,42,FL4410448|FL4410449|FL4410450|FL4410451|FL4410452|FL4410453|FL4410454|FL4410455|FL4410456|FL4410457|FL4410458|FL4410459|FL4410460|FL4410461|FL4410462|FL4410463|FL4410464|FL4410465|FL4410466|FL4410467|FL4410468|FL4410469|FL4410470|FL4410471|FL4410472|FL4410473|FL4410474|FL4410475|FL4410476|FL4410477|FL4410478|FL4410479|FL4410480|FL4410481|FL4410482|FL4410483|FL4410484|FL4410485|FL4410486|FL4410487|FL4410488|FL4410489,"Includes:|Parramatta derelicts, August 1980|Ralph Nader, Sydney, August 1980|Liverpool women on Council & health centre, August 1980|Labor Party demonstration (New South Wales), August 1980|Hiroshima demonstration, Sydney, August 1980",,demonstrations|uranium,,
03,06,0552,ITEM,"Item 0552: Tribune negatives including Rank & File Workers Conference, Sydney, New South Wales, August 1980",ON 160/Item 0552,1045922,110369902,August 1980,1980-01-01 00:00:00,1980-12-31 00:00:00,37 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369902,http://archival.sl.nsw.gov.au/Details/archive/110369620,37,FL4412347|FL4412348|FL4412349|FL4412350|FL4412351|FL4412352|FL4412353|FL4412354|FL4412355|FL4412356|FL4412357|FL4412358|FL4412359|FL4412360|FL4412361|FL4412362|FL4412363|FL4412364|FL4412365|FL4412366|FL4412367|FL4412368|FL4412369|FL4412370|FL4412371|FL4412372|FL4412373|FL4412374|FL4412375|FL4412376|FL4412377|FL4412378|FL4412379|FL4412380|FL4412381|FL4412382|FL4412383,"Includes:|Miners, Queensland, August 1980|Ralph Nader, Sydney, August 1980|Joe Palmada, August 1980|Rank & File Workers Conference, Sydney, August 1980|Mark West, August 1980|Aborigines Co-operative, Newcastle, August 1980|Bob Collins, August 1980|Sid Einfeld, August 1980|Michael Kirby, August 1980",,conventions|workers,,
03,06,0553,ITEM,"Item 0553: Tribune negatives including Ralph Nader, Sydney, New South Wales, August 1980",ON 160/Item 0553,1045925,110369904,August 1980,1980-01-01 00:00:00,1980-12-31 00:00:00,39 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369904,http://archival.sl.nsw.gov.au/Details/archive/110369620,39,FL4413344|FL4413346|FL4413347|FL4413349|FL4413350|FL4413355|FL4413356|FL4413360|FL4413361|FL4413362|FL4413363|FL4413365|FL4413366|FL4413367|FL4413368|FL4413371|FL4413374|FL4413376|FL4413380|FL4413381|FL4413382|FL4413384|FL4413385|FL4413386|FL4413388|FL4413389|FL4413392|FL4413395|FL4413396|FL4413400|FL4413402|FL4413403|FL4413404|FL4413405|FL4413407|FL4413408|FL4413409|FL4413413|FL4413414,"Includes:|Ralph Nader, Sydney, August 1980|Fawkner High School, Melbourne, August 1980|Bob Collins, August 1980|Annandale School, Piper Street, August 1980|AMI Melbourne (auto industry) occupation, August 1980",,men|portraits,,
03,06,0554,ITEM,"Item 0554: Tribune negatives including Parklea and Labor Party demonstrations, New South Wales, August 1980",ON 160/Item 0554,1045928,110369906,August 1980,1980-01-01 00:00:00,1980-12-31 00:00:00,39 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369906,http://archival.sl.nsw.gov.au/Details/archive/110369620,39,FL4417329|FL4417330|FL4417331|FL4417332|FL4417333|FL4417334|FL4417335|FL4417336|FL4417337|FL4417338|FL4417339|FL4417340|FL4417341|FL4417342|FL4417343|FL4417344|FL4417345|FL4417346|FL4417347|FL4417348|FL4417349|FL4417350|FL4417351|FL4417352|FL4417353|FL4417354|FL4417355|FL4417356|FL4417360|FL4417361|FL4417362|FL4417363|FL4417364|FL4417368|FL4417373|FL4417375|FL4417377|FL4417379|FL4417381,"Includes:|Labor Party demonstration (New South Wales), August 1980|Melbourne, Town Hall meeting?, August 1980|Parklea demonstration, August 1980|Tribune seller, Hanna, August 1980",,demonstrations|demonstrators (political),,
03,06,0555,ITEM,"Item 0555: Tribune negatives including shopping and Women's Health Centre, Liverpool, New South Wales, July 1980",ON 160/Item 0555,1045930,110369907,July 1980,1980-01-01 00:00:00,1980-12-31 00:00:00,34 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369907,http://archival.sl.nsw.gov.au/Details/archive/110369620,34,FL4416572|FL4416575|FL4416577|FL4416579|FL4416581|FL4416583|FL4416585|FL4416587|FL4416588|FL4416590|FL4416597|FL4416600|FL4416601|FL4416605|FL4416606|FL4416608|FL4416610|FL4416612|FL4416614|FL4416616|FL4416618|FL4416624|FL4416628|FL4416630|FL4416631|FL4416633|FL4416636|FL4416637|FL4416639|FL4416640|FL4416641|FL4416643|FL4416645|FL4416648,"Includes:|Tribune workers, layout & typesetting, July 1980|Jackie Widden, Liverpool Women's Health Centre, frame 18, July 1980|Jan Sinclair, typesetting, July 1980|Liverpool, New South Wales, shopping etc. & women's health workers, July 1980|Land rights, New South Wales demonstration August 1980|Gerrie Gremfield, Liverpool Women's Health Centre, frames 19 & 20, July 1980|Kay Ferrington, Liverpool Women's Health Centre, frame 16, July 1980|Ruth Connell, typesetting, July 1980|Bruce Hanna (being silly), July 1980|Mabelle Gardiol, Liverpool Women's Health Centre, (L) frame 21?, July 1980||Original negative sleeve titled Liverpool NSW July 80 - shopping sts & Women's Health Centre, NSW land rights, Trib workers",,women|health centres|shopping centres,,
03,06,0556,ITEM,"Item 0556: Tribune negatives including Vanuatu Independence Day, New Hebrides, August 1980",ON 160/Item 0556,1045932,110369908,August 1980,1980-01-01 00:00:00,1980-12-31 00:00:00,39 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369908,http://archival.sl.nsw.gov.au/Details/archive/110369620,39,FL4416747|FL4416748|FL4416749|FL4416750|FL4416751|FL4416752|FL4416753|FL4416754|FL4416755|FL4416756|FL4416757|FL4416758|FL4416759|FL4416760|FL4416761|FL4416762|FL4416763|FL4416764|FL4416765|FL4416766|FL4416767|FL4416768|FL4416769|FL4416770|FL4416771|FL4416772|FL4416773|FL4416774|FL4416775|FL4416776|FL4416777|FL4416778|FL4416779|FL4416780|FL4416781|FL4416782|FL4416783|FL4416784|FL4416785,"Includes:|New Hebrides (Oliver Strewe) Independence, August 1980|Vanuatu Independence Day, August 1980",,portraits,,Vanuatu
03,06,0557,ITEM,"Item 0557: Tribune negatives including Parramatta Hospital demonstration, New South Wales, July-September 1980",ON 160/Item 0557,1045934,110369910,July-September 1980,1980-01-01 00:00:00,1980-12-31 00:00:00,37 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369910,http://archival.sl.nsw.gov.au/Details/archive/110369620,37,FL4417428|FL4417433|FL4417437|FL4417440|FL4417442|FL4417444|FL4417446|FL4417448|FL4417449|FL4417450|FL4417451|FL4417452|FL4417454|FL4417455|FL4417456|FL4417458|FL4417459|FL4417461|FL4417463|FL4417465|FL4417468|FL4417469|FL4417470|FL4417471|FL4417472|FL4417473|FL4417474|FL4417475|FL4417476|FL4417477|FL4417478|FL4417479|FL4417480|FL4417481|FL4417482|FL4417483|FL4417484,"Includes:|Tribune workers, layout & typesetting, July 1980|Ralph Nader, August 1980|Parramatta Hospital demonstration, August 1980|Rank & File Conference, Sydney, August 1980|South Clifton coal CMU representatives, Bill Blanch & Gary Walker, September 1980",,demonstrations|hospitals,,
03,06,0558,ITEM,"Item 0558: Tribune negatives including child care rally, Sydney, New South Wales, August-September 1980",ON 160/Item 0558,1045936,110369911,August-September 1980,1980-01-01 00:00:00,1980-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369911,http://archival.sl.nsw.gov.au/Details/archive/110369620,38,FL4416919|FL4416920|FL4416921|FL4416922|FL4416923|FL4416924|FL4416925|FL4416926|FL4416927|FL4416928|FL4416929|FL4416930|FL4416931|FL4416932|FL4416933|FL4416934|FL4416935|FL4416936|FL4416937|FL4416938|FL4416939|FL4416940|FL4416941|FL4416942|FL4416943|FL4416944|FL4416945|FL4416946|FL4416947|FL4416948|FL4416949|FL4416950|FL4416951|FL4416952|FL4416953|FL4416954|FL4416955|FL4416956,"Includes:|Rail parcels section, Sydney, September 1980|Hayden & Hawke, August 1980|Child care rally, Sydney, August 1980",,rallies|child-care workers,,
03,06,0559,ITEM,"Item 0559: Tribune negatives including Carol O'Donnell, Denis Freney, Brian McGahen, Vicki Wooten, Brian Aarons and Geoff Evans, 1980-1981",ON 160/Item 0559,1045937,110369912,1980-1981,1980-01-01 00:00:00,1981-12-31 00:00:00,42 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369912,http://archival.sl.nsw.gov.au/Details/archive/110369620,42,FL4417070|FL4417071|FL4417073|FL4417075|FL4417076|FL4417082|FL4417084|FL4417086|FL4417088|FL4417091|FL4417093|FL4417094|FL4417096|FL4417097|FL4417099|FL4417100|FL4417102|FL4417103|FL4417109|FL4417111|FL4417113|FL4417115|FL4417117|FL4417119|FL4417120|FL4417123|FL4417127|FL4417132|FL4417134|FL4417137|FL4417138|FL4417140|FL4417141|FL4417143|FL4417146|FL4417147|FL4417149|FL4417151|FL4417153|FL4417155|FL4417156|FL4417157,"Includes:|Rank & File Conference theatre, Sydney, September 1980|Carol O'Donnell, August 1980|Wendy's shoe, August 1980|Denis Freney, August 1980|Leichhardt nuke-free zone, August 1980|Brian McGahen, outside labor conference, August 1980|Tribune workers, layout & typesetting, July 1980|Vicki Wooten, August 1980|Brian Aarons, August 1980|Housing eviction, Cleveland Street, Redfern, May 1981|Geoff Evans, August 1980",,men|women,,
03,06,0560,ITEM,"Item 0560: Tribune negatives including uranium demonstration, Adelaide, South Australia, January-September 1980",ON 160/Item 0560,1045940,110369913,January-September 1980,1980-01-01 00:00:00,1980-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369913,http://archival.sl.nsw.gov.au/Details/archive/110369620,41,FL4418033|FL4418035|FL4418038|FL4418040|FL4418041|FL4418043|FL4418044|FL4418045|FL4418047|FL4418048|FL4418050|FL4418051|FL4418053|FL4418054|FL4418056|FL4418058|FL4418060|FL4418062|FL4418063|FL4418065|FL4418066|FL4418069|FL4418070|FL4418071|FL4418072|FL4418074|FL4418075|FL4418076|FL4418078|FL4418079|FL4418081|FL4418084|FL4418085|FL4418086|FL4418087|FL4418088|FL4418090|FL4418091|FL4418092|FL4418093|FL4418095,"Includes:|Uranium demonstration, Adelaide (residents), August 1980|Judy Mundey, September 1980|Pirema Pirisi, September 1980|Nurses demonstration, Sydney, January 1980|Bianea Braccitorsi, PCI, September 1980",,demonstrations|uranium,"Mundey, Judith Ann, 1944-",
