series_number,part_number,item_number,level,title,call_number,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,description,subjects,topics,people,places
02,04,0188,ITEM,"Item 0188: Tribune negatives including portraits of men, [ca. 1976-1977]",ON 160/Item 0188,1045248,110369398,ca. 1976-1977,1976-01-01 00:00:00,1977-12-31 00:00:00,6 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369398,http://archival.sl.nsw.gov.au/Details/archive/110369351,6,FL4498686|FL4498688|FL4498690|FL4498691|FL4498694|FL4498695,Includes:|[portraits of three men]|Original negative sleeve titled Melbourne,,portraits|men,,
02,04,0158,ITEM,"Item 0158a: Tribune negatives including constitution rallies in Melbourne, Victoria, November 1976",ON 160/Item 0158a,1045203,110369362,November 1976,1976-01-01 00:00:00,1976-12-31 00:00:00,6 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369362,http://archival.sl.nsw.gov.au/Details/archive/110369351,6,FL4497346|FL4497348|FL4497350|FL4497352|FL4497353|FL4497355,"Includes:|November 11, 1976 (Melbourne)|Original negative sleeve titled Trib",,constitutions|political rallies|portraits,,
02,04,0158,ITEM,"Item 0158: Tribune negatives including uranium demonstration, [ca. 1976-1977]",ON 160/Item 0158,1045202,110369361,ca. 1976-1977,1976-01-01 00:00:00,1977-12-31 00:00:00,6 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369361,http://archival.sl.nsw.gov.au/Details/archive/110369351,6,FL4495903|FL4495904|FL4495905|FL4495906|FL4495907|FL4495908,Includes:|Captain Matchbox|University of Melbourne with Captain Matchbox|Captain Matchbox (uranium demonstration),,demonstrations|uranium,,
02,04,0151,ITEM,"Item 0151: Tribune negatives including striking workers at metal manufacturer, [ca. 1976-1977]",ON 160/Item 0151,1045032,110369352,ca. 1976-1977,1976-01-01 00:00:00,1977-12-31 00:00:00,6 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369352,http://archival.sl.nsw.gov.au/Details/archive/110369351,0,,"Includes:|Metal manufacturers, striking workers",,strikes|industrial workers,,
02,04,0152,ITEM,"Item 0152: Tribune negatives including polluted waterfront and Tertiary Education Assistance Scheme demonstration, Melbourne, Victoria, [ca. 1976-1977]",ON 160/Item 0152,1045035,110369354,ca. 1976-1977,1976-01-01 00:00:00,1977-12-31 00:00:00,27 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369354,http://archival.sl.nsw.gov.au/Details/archive/110369351,27,FL4510766|FL4510769|FL4510772|FL4510774|FL4510775|FL4510778|FL4510780|FL4510783|FL4510785|FL4510788|FL4510790|FL4510792|FL4510794|FL4510801|FL4510805|FL4510808|FL4510810|FL4510812|FL4510813|FL4510815|FL4510823|FL4510824|FL4510826|FL4510828|FL4510829|FL4510831|FL4510833,Includes:|Melbourne : polluted waterfront|Tertiary Education Assistance Scheme (Melbourne)|Original negative sleeve titled Trib[une],,pollution|students|demonstrations,,
02,04,0153,ITEM,"Item 0153: Tribune negatives including Kath McLean and Christine Curry, November 1976",ON 160/Item 0153,1045037,110369355,November 1976,1976-01-01 00:00:00,1976-12-31 00:00:00,34 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369355,http://archival.sl.nsw.gov.au/Details/archive/110369351,34,FL4510569|FL4510574|FL4510576|FL4510577|FL4510578|FL4510580|FL4510581|FL4510582|FL4510584|FL4510585|FL4510587|FL4510592|FL4510594|FL4510595|FL4510597|FL4510598|FL4510600|FL4510601|FL4510603|FL4510604|FL4510605|FL4510607|FL4510610|FL4510615|FL4510617|FL4510618|FL4510620|FL4510621|FL4510622|FL4510623|FL4510624|FL4510626|FL4510629|FL4510631,"Includes:|November 11, 1976|Kath McLean, November 1976|Christine Curry, November 1976",,demonstrations|women,,
02,04,0154,ITEM,"Item 0154: Tribune negatives including uranium demonstration at Sydney Opera House, Sydney, New South Wales and ABC strike, November 1976",ON 160/Item 0154,1045045,110369357,November 1976,1976-01-01 00:00:00,1976-12-31 00:00:00,31 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369357,http://archival.sl.nsw.gov.au/Details/archive/110369351,31,FL4492133|FL4492135|FL4492136|FL4492138|FL4492140|FL4492141|FL4492142|FL4492144|FL4492145|FL4492147|FL4492150|FL4492151|FL4492152|FL4492153|FL4492154|FL4492155|FL4492156|FL4492158|FL4492159|FL4492160|FL4492161|FL4492163|FL4492164|FL4492165|FL4492166|FL4492168|FL4492169|FL4492170|FL4492172|FL4492174|FL4492176,"Includes:|ABC strike, November 1976|Kerryn Higgs, November 1976|Alison Lyssa, November 1976|Uranium demonstration at Opera House, November 1976|Sandra Wilson|Original negative sleeve titled Uranium, ABC",,uranium|television stations|demonstrations,,
02,04,0155,ITEM,"Item 0155: Tribune negatives including Long Bay Jail and suburban railways in Parramatta, New South Wales, February 1977",ON 160/Item 0155,1045047,110369358,February 1977,1977-01-01 00:00:00,1977-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369358,http://archival.sl.nsw.gov.au/Details/archive/110369351,41,FL4493843|FL4493845|FL4493848|FL4493851|FL4493854|FL4493856|FL4493859|FL4493860|FL4493864|FL4493866|FL4493868|FL4493870|FL4493871|FL4493874|FL4493876|FL4493879|FL4493882|FL4493885|FL4493887|FL4493889|FL4493891|FL4493893|FL4493895|FL4493896|FL4493898|FL4493900|FL4493901|FL4493903|FL4493906|FL4493913|FL4493915|FL4493917|FL4493918|FL4493919|FL4493920|FL4493921|FL4493922|FL4493923|FL4493924|FL4493925|FL4493926,"Includes:|Ticket collection, suburban trains|Trains, suburban|Long Bay Gaol demonstration, February 1977|Railways (suburban)|Railways (Parramatta)|Cars, abandoned (wrecked)|Original negative sleeve titled Trib[une] Chris",,passenger trains|railways|demonstrations|passengers,,
02,04,0156,ITEM,"Item 0156: Tribune negatives including rape protests, Melbourne, Victoria, February 1977",ON 160/Item 0156,1045049,110369359,February 1977,1977-01-01 00:00:00,1977-12-31 00:00:00,20 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369359,http://archival.sl.nsw.gov.au/Details/archive/110369351,20,FL4497553|FL4497554|FL4497555|FL4497556|FL4497557|FL4497558|FL4497559|FL4497560|FL4497561|FL4497562|FL4497563|FL4497564|FL4497565|FL4497566|FL4497567|FL4497568|FL4497569|FL4497570|FL4497571|FL4497572,"Includes:|Rape demonstration, Melbourne, 12 February 1977|Original negative sleeve titled Trib (Melb)",,rape|demonstrations,,
02,04,0157,ITEM,"Item 0157: Tribune negatives including Hisham Rais, social services demonstrations and Carlton & United Brewery building, Melbourne, Victoria, [ca. 1976-1977]",ON 160/Item 0157,1045201,110369360,ca. 1976-1977,1976-01-01 00:00:00,1977-12-31 00:00:00,30 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369360,http://archival.sl.nsw.gov.au/Details/archive/110369351,30,FL4496584|FL4496586|FL4496591|FL4496595|FL4496596|FL4496598|FL4496601|FL4496605|FL4496606|FL4496608|FL4496610|FL4496612|FL4496614|FL4496616|FL4496618|FL4496619|FL4496621|FL4496622|FL4496624|FL4496626|FL4496629|FL4496631|FL4496633|FL4496639|FL4496641|FL4496643|FL4496645|FL4496646|FL4496647|FL4496649,"Includes:|Hisham Rais|Post Office Tavern (Melbourne)|Social services demonstration|Carlton & United Brewery|Margaret Guilfoyle, demonstration against",,demonstrations|social services|breweries|civil & political rights,,
