call_number,item_number,level,title,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,subjects,people
ON 160/Item 1101,1101,ITEM,"Item 1101: Tribune negatives including public servants, customs officers protests and education mobilisation, Sydney, New South Wales, August-September 1988",1057779,110370855,August-September 1988,1988-01-01 00:00:00,1988-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370855,http://archival.sl.nsw.gov.au/Details/archive/110369633,0,,demonstrations|public servants|education|customs officers,
ON 160/Item 1102,1102,ITEM,"Item 1102: Tribune negatives including International Women's Day rally, Sydney, New South Wales, March 1990 / photographed by Peter Murphy",1057781,110370856,March 1990,1990-01-01 00:00:00,1990-12-31 00:00:00,28 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370856,http://archival.sl.nsw.gov.au/Details/archive/110369633,0,,women|rallies,"Murphy, Peter"
ON 160/Item 1103,1103,ITEM,"Item 1103: Tribune negatives including school protest, February-March 1990 / photographed by Peter Murphy",1057787,110370857,February-March 1990,1990-01-01 00:00:00,1990-12-31 00:00:00,20 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370857,http://archival.sl.nsw.gov.au/Details/archive/110369633,0,,demonstrations|schools & colleges,"Murphy, Peter"
ON 160/Item 1104,1104,ITEM,"Item 1104: Tribune negatives including Yeo Park Infants School closure and March for the Environment protests, Sydney, New South Wales, March 1990 / photographed by Michael Evans and Peter Murphy",1057792,110370858,March 1990,1990-01-01 00:00:00,1990-12-31 00:00:00,31 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370858,http://archival.sl.nsw.gov.au/Details/archive/110369633,0,,demonstrations|schools & colleges|conservation of natural resources,"Murphy, Peter|Evans, Michael"
ON 160/Item 1105,1105,ITEM,"Item 1105: Tribune negatives including Ki Pum Kwon from South Korea at forum on Australia union, March-June 1990 / photographed by Peter Murphy",1057796,110370860,March-June 1990,1990-01-01 00:00:00,1990-12-31 00:00:00,4 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370860,http://archival.sl.nsw.gov.au/Details/archive/110369633,0,,Koreans|conventions|interviews,"Murphy, Peter"
ON 160/Item 1106,1106,ITEM,"Item 1106: Tribune negatives including building workers on site, Italian Liberation Day and tree planting in memorial of Ralph Gibson, Sydney, New South Wales, April 1990 / photographed by Peter Murphy, Michael Evans, S. Scudery",1057800,110370862,April 1990,1990-01-01 00:00:00,1990-12-31 00:00:00,33 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370862,http://archival.sl.nsw.gov.au/Details/archive/110369633,0,,"monuments & memorials|tree planting ceremonies|festivals, celebrations etc.|construction & demolition workers","Evans, Michael|Murphy, Peter"
ON 160/Item 1107,1107,ITEM,"Item 1107: Tribune negatives including Zenaida Delica, Geoff Goodfellow, John Arrowsmith, Lloyd Edmonds and Ms. Higgins, January-May 1990 / photographed by Michael Evans, R. Durbridge, Peter Murphy",1057803,110370863,January-May 1990,1990-01-01 00:00:00,1990-12-31 00:00:00,15 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370863,http://archival.sl.nsw.gov.au/Details/archive/110369633,0,,men|public speaking|women,"Murphy, Peter|Evans, Michael"
ON 160/Item 1108,1108,ITEM,"Item 1108: Tribune negatives including May Day march and action against nuke ship USS Blue Ridge, Sydney, New South Wales, May 1990 / photographed by Peter Murphy",1057807,110370864,May 1990,1990-01-01 00:00:00,1990-12-31 00:00:00,33 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370864,http://archival.sl.nsw.gov.au/Details/archive/110369633,0,,demonstrations|naval ships|demonstrators (political)|May Day (Labor holiday)--New South Wales.,"Murphy, Peter"
ON 160/Item 1109,1109,ITEM,"Item 1109: Tribune negatives including Aborigines land rights, Soweto Day demonstrations and teachers strike, march, Sydney, New South Wales, May-June 1990 / photographed by Peter Murphy, Michael Evans and D. Wooster",1057809,110370865,May-June 1990,1990-01-01 00:00:00,1990-12-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370865,http://archival.sl.nsw.gov.au/Details/archive/110369633,0,,Aboriginal peoples (Australians)|land rights|demonstrations|teachers|strikes|Aboriginal Australians--Land tenure.,"Murphy, Peter|Evans, Michael"
ON 160/Item 1110,1110,ITEM,"Item 1110: Tribune negatives including shearer's dispute, Port Adelaide, South Australia and New Left Party press conference, May-June 1990 / photographed by Peter Murphy and G. Rigioni",1058364,110370870,May-June 1990,1990-01-01 00:00:00,1990-12-31 00:00:00,26 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370870,http://archival.sl.nsw.gov.au/Details/archive/110369633,0,,shearers|labour disputes|meetings|press conferences|political parties,"Murphy, Peter"
ON 160/Item 1111,1111,ITEM,"Item 1111: Tribune negatives including New Left Party opening session and building workers occupy liquidators office, May-June 1990",1058366,110370872,May-June 1990,1990-01-01 00:00:00,1990-12-31 00:00:00,29 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370872,http://archival.sl.nsw.gov.au/Details/archive/110369633,0,,political parties|conventions|demonstrations|construction & demolition workers,
ON 160/Item 1112,1112,ITEM,"Item 1112: Tribune negatives including May Day march, Melbourne, Victoria, May 1990 / photographed by Michael Evans",1058367,110370873,May 1990,1990-01-01 00:00:00,1990-12-31 00:00:00,32 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370873,http://archival.sl.nsw.gov.au/Details/archive/110369633,0,,demonstrations|demonstrators (political),
ON 160/Item 1113,1113,ITEM,"Item 1113: Tribune negatives including World Environment Day, Sydney, New South Wales and 10th commemoration of the Kwangju uprising, May-June 1990 / photographed by Peter Murphy",1058369,110370876,May-June 1990,1990-01-01 00:00:00,1990-12-31 00:00:00,25 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370876,http://archival.sl.nsw.gov.au/Details/archive/110369633,0,,anniversaries|demonstrations|conservation of natural resources|Koreans|Chinese peoples,"Murphy, Peter"
