call_number,item_number,level,title,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,subjects,people
ON 160/Item 0601,0601,ITEM,"Item 0601: Tribune negatives including women's refuge demonstration and Communist Party of Australia Conference, Melbourne, Victoria, May 1981",1046006,110369960,May 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369960,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,demonstrations|conventions,
ON 160/Item 0602,0602,ITEM,"Item 0602: Tribune negatives including May Day march and Communist Party of Australia Conference, Sydney, New South Wales, May 1981",1046007,110369961,May 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369961,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,demonstrations|conventions|May Day (Labor holiday)--New South Wales.,
ON 160/Item 0603,0603,ITEM,"Item 0603: Tribune negatives including Fairfax Herald offices and staff, May 1981",1046008,110369962,May 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,22 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369962,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,newspaper offices|mass media|workers,
ON 160/Item 0604,0604,ITEM,"Item 0604: Tribune negatives including Aboriginal embassy, Queensland, July-August 1981",1046009,110369963,July-August 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,27 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369963,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,embassies|Aboriginal peoples (Australians)|land rights,
ON 160/Item 0605,0605,ITEM,"Item 0605: Tribune negatives including Gladstone workers in Queensland and budget demonstration, Melbourne, Victoria, July-August 1981",1046010,110369964,August 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369964,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,demonstrations|workers,
ON 160/Item 0606,0606,ITEM,"Item 0606: Tribune negatives including squatters in The Rocks, Newton and Edgecliff, New South Wales, July 1981",1046011,110369965,July 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,43 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369965,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,squatters (housing)|evictions,
ON 160/Item 0607,0607,ITEM,"Item 0607: Tribune negatives including Hiroshima Day protest, Melbourne, Victoria, August 1981",1046012,110369966,August 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,48 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369966,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,demonstrations|demonstrators (political),
ON 160/Item 0608,0608,ITEM,"Item 0608: Tribune negatives including pensioners rally and Ireland solidarity, Sydney, New South Wales, June-August 1981",1046014,110369967,June-August 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369967,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,rallies|demonstrations|demonstrators (political),
ON 160/Item 0609,0609,ITEM,"Item 0609: Tribune negatives including Women's services rally, protest, Sydney, New South Wales, August 1981",1046015,110369968,August 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,42 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369968,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,women|rallies|demonstrations,
ON 160/Item 0610,0610,ITEM,"Item 0610: Tribune negatives including Arthur Phillip High School, Parramatta, New South Wales and primary teachers strike, July 1981",1046016,110369969,July 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,42 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369969,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,high schools|strikes|teachers,
ON 160/Item 0611,0611,ITEM,"Item 0611: Tribune negatives including Royal Prince Alfred Hospital and nurses strike meeting, Sydney, New South Wales, May-August 1981",1046018,110369970,May-August 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369970,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,nurses|hospitals|meetings|strikes,
ON 160/Item 0612,0612,ITEM,"Item 0612: Tribune negatives including Razor Gang protest, Bendigo and Footscray, Victoria, May-August 1981",1046019,110369971,May-August 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,37 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369971,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,demonstrations|demonstrators (political),
ON 160/Item 0613,0613,ITEM,"Item 0613: Tribune negatives including Razor Gang protest, Melbourne, Victoria and Community Youth Support Scheme budget rally, Wollongong, New South Wales, August 1981",1046020,110369972,August 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369972,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,demonstrations|rallies|demonstrators (political),
ON 160/Item 0614,0614,ITEM,"Item 0614: Tribune negatives including Razor Gang health cuts protest, Melbourne, Victoria and confrontation with Bruce McDonald, NSW liberal leader, July 1981",1046021,110369973,July 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369973,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,demonstrations|politicians|demonstrators (political),
ON 160/Item 0615,0615,ITEM,"Item 0615: Tribune negatives including railway cuts and worker victimisation protests, July-August 1981",1046022,110369974,July-August 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,30 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369974,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,railway workers|demonstrations,
ON 160/Item 0616,0616,ITEM,"Item 0616: Tribune negatives including Women's Refuge occupation, Victoria and Newcastle Port, New South Wales, June-August 1981",1046025,110369975,June-August 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,42 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369975,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,ports|women's shelters|Adult Females,
ON 160/Item 0617,0617,ITEM,"Item 0617: Tribune negatives including protest against cuts and budget, Melbourne, Victoria and hunger strike, September 1981",1046026,110369976,September 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369976,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,demonstrations|strikes,
ON 160/Item 0618,0618,ITEM,"Item 0618: Tribune negatives including Australian Ballet dispute, Melbourne and views of La Trobe Valley, Victoria, September-November 1981",1046028,110369977,September-November 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,42 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369977,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,ballet dancers|views,
ON 160/Item 0619,0619,ITEM,"Item 0619: Tribune negatives including student rally, Sydney, New South Wales, September 1981",1046038,110369983,September 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369983,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,students|rallies,
ON 160/Item 0620,0620,ITEM,"Item 0620: Tribune negatives including Australian Postal & Telecommunications Union meeting, Redfern oval, New South Wales, December 1981",1046045,110369987,December 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,43 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369987,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,postal workers|communication workers|meetings,
ON 160/Item 0621,0621,ITEM,"Item 0621: Tribune negatives including education cuts protest, New South Wales, October-November 1981",1046048,110369989,October-November 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369989,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,education|demonstrations|demonstrators (political),
ON 160/Item 0622,0622,ITEM,"Item 0622: Tribune negatives including Popular Theatre Troupe at Association for International Co-operation and Disarmament fair, Sydney, New South Wales, June-December 1981",1046049,110369990,June-December 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369990,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,"festivals, celebrations etc.|troupes|theatre groups (performers)",
ON 160/Item 0623,0623,ITEM,"Item 0623: Tribune negatives including Spanish Communist Party and Freney's visit, Poland, June-August 1981",1046050,110369991,June-August 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,34 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369991,http://archival.sl.nsw.gov.au/Details/archive/110369621,0,,men|conventions,
