call_number,item_number,level,title,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,subjects,people
ON 160/Item 0351,0351,ITEM,"Item 0351: Tribune negatives including Homosexual demonstration, Liverpool Court, Sydney, New South Wales, July 1978",1045519,110369584,July 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,23 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369584,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,demonstrations|gays,
ON 160/Item 0352,0352,ITEM,"Item 0352: Tribune negatives including US bases rally, Sydney, New South Wales, July 1978",1045520,110369585,July 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,24 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369585,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,rallies|demonstrators (political),
ON 160/Item 0353,0353,ITEM,"Item 0353: Tribune negatives including seamen picket demonstration, Melbourne, Victoria, July-September 1978",1045521,110369586,July-September 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,17 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369586,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,merchant seamen|demonstrations,
ON 160/Item 0355,0355,ITEM,"Item 0355: Tribune negatives including Mururoa demonstration and CUBA Youth festival delegations, Sydney Airport, July 1978",1045523,110369587,July 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,25 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369587,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,demonstrations|delegations|youth,
ON 160/Item 0356,0356,ITEM,"Item 0356: Tribune negatives including Technical and Further Education and CYSS demonstrations, Sydney, New South Wales, July 1978",1045525,110369588,July 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369588,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,demonstrations|technical education,
ON 160/Item 0357,0357,ITEM,"Item 0357: Tribune negatives including Hiroshima Day march, Sydney, New South Wales, August 1978",1045526,110369589,August 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369589,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,uranium|demonstrations,
ON 160/Item 0358,0358,ITEM,"Item 0358: Tribune negatives including Hiroshima Day march, Sydney, New South Wales, August 1978",1045527,110369590,August 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,25 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369590,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,demonstrations|uranium,
ON 160/Item 0359,0359,ITEM,"Item 0359: Tribune negatives including Australian Teacher Education Association strike meetings, Wentworth Park, New South Wales, August 1978",1045528,110369591,August 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,26 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369591,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,strikes|meetings|teachers,
ON 160/Item 0360,0360,ITEM,"Item 0360: Tribune negatives including National Aborigines Day and Hiroshima Day marches, Melbourne, Victoria, August 1978",1045529,110369592,August 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369592,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,Aboriginal peoples (Australians)|land rights|demonstrations|uranium,
ON 160/Item 0361,0361,ITEM,"Item 0361: Tribune negatives including James Hardie demonstration at Asbestos House, August 1978",1045530,110369593,August 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,37 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369593,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,demonstrations|asbestos fabric,
ON 160/Item 0363,0363,ITEM,"Item 0363: Tribune negatives including Yuraygir National Park demonstration and child care centre, August 1978",1045531,110369594,August 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,29 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369594,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,demonstrations|national parks|child-care centres,
ON 160/Item 0364,0364,ITEM,"Item 0364: Tribune negatives including Sydney Budget rally, New South Wales, August 1978",1045532,110369595,August 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369595,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,budgets (government)|political rallies,
ON 160/Item 0365,0365,ITEM,"Item 0365: Tribune negatives including Medibank demonstration, Sydney, New South Wales, August 1978",1045537,110369597,August 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,44 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369597,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,demonstrations|health services,
ON 160/Item 0366,0366,ITEM,"Item 0366: Tribune negatives including Australian Teacher Education Association back to work meeting, September 1978",1045539,110369599,September 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,42 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369599,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,meetings|teachers,
ON 160/Item 0367,0367,ITEM,"Item 0367: Tribune negatives including gay liberation and homosexual demonstrations, Sydney, New South Wales, September 1978",1045540,110369600,September 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,34 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369600,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,gays|demonstrations|gay rights,
ON 160/Item 0368,0368,ITEM,"Item 0368: Tribune negatives including Chile demonstration and abortion rally, Sydney, New South Wales, September 1978",1045541,110369601,September 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,22 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369601,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,rallies|demonstrations|abortion,
ON 160/Item 0369,0369,ITEM,"Item 0369: Tribune negatives including Judy Mundey and Tribune staff, September 1978",1045542,110369602,September 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,34 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369602,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,workers|women,"Mundey, Judith Ann, 1944-"
ON 160/Item 0370,0370,ITEM,"Item 0370: Tribune negatives including Eden Park child care and Water Board workers stop work meeting, Sydney, New South Wales, September 1978",1045543,110369603,September 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,34 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369603,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,child-care centres|workers|meetings,
ON 160/Item 0371,0371,ITEM,"Item 0371: Tribune negatives including concerned citizens meeting, Sydney Town Hall and Uranium rally, Martin Plaza, New South Wales, September 1978",1045544,110369604,September 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,34 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369604,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,meetings|rallies|uranium,
ON 160/Item 0372,0372,ITEM,"Item 0372: Tribune negatives including budget rallies, Melbourne, Victoria and Parramatta, New South Wales, September 1978",1045545,110369605,September 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,37 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369605,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,rallies|budgets (government),
ON 160/Item 0373,0373,ITEM,"Item 0373: Tribune negatives including gay demonstration, Sydney, September 1978",1045546,110369606,September 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,42 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369606,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,demonstrations|gays,
ON 160/Item 0374,0374,ITEM,"Item 0374: Tribune negatives including budget rally, Sydney, New South Wales, September 1978",1045547,110369607,September 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,5 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369607,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,budgets (government)|rallies,
ON 160/Item 0375,0375,ITEM,"Item 0375: Tribune negatives including APM meetings, Botany Bay, New South Wales, October 1978",1045548,110369608,October 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369608,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,meetings|workers,
ON 160/Item 0376,0376,ITEM,"Item 0376: Tribune negatives including East Timor demonstration, South Australia, October 1978",1045550,110369609,October 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369609,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,demonstrations|demonstrators (political),
ON 160/Item 0377,0377,ITEM,"Item 0377: Tribune negatives including rail maintenance workers meeting and government printers picket, Sydney, New South Wales, October 1978",1045555,110369610,October 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,33 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369610,http://archival.sl.nsw.gov.au/Details/archive/110369583,0,,pickets|meetings|printers (people)|railway workers,
