call_number,item_number,level,title,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,subjects,people
ON 160/Item 0901,0901,ITEM,"Item 0901: Tribune negatives including anti-warship protest and Darling Harbour warehouses, Brisbane, Queensland, 1984-1985",1055132,110370534,1984-1985,1984-01-01 00:00:00,1985-12-31 00:00:00,29 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370534,http://archival.sl.nsw.gov.au/Details/archive/110369628,0,,warehouses|demonstrations,
ON 160/Item 0902,0902,ITEM,"Item 0902: Tribune negatives including Builder Labourer's Federation meeting, protest and Defend Medicare Committee meeting, March 1985",1055133,110370535,March 1985,1985-01-01 00:00:00,1985-12-31 00:00:00,29 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370535,http://archival.sl.nsw.gov.au/Details/archive/110369628,0,,demonstrations|meetings|committees & inquiries|building labourers,
ON 160/Item 0903,0903,ITEM,"Item 0903: Tribune negatives including People for Nuclear Disarmament bus and protests, 1985",1055134,110370536,1985,1985-01-01 00:00:00,1985-12-31 00:00:00,30 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370536,http://archival.sl.nsw.gov.au/Details/archive/110369628,0,,demonstrations|buses|Nuclear disarmament--Australia.,
ON 160/Item 0904,0904,ITEM,"Item 0904: Tribune negatives including Jack Mundy addressing Green Party, Brisbane, Queensland, 1985",1055138,110370539,1985,1985-01-01 00:00:00,1985-12-31 00:00:00,30 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370539,http://archival.sl.nsw.gov.au/Details/archive/110369628,0,,activists|political parties,
ON 160/Item 0905,0905,ITEM,"Item 0905: Tribune negatives including anti-nuclear and anti-apartheid marches, [ca. 1984-1985]",1055140,110370541,ca. 1984-1985,1984-01-01 00:00:00,1985-12-31 00:00:00,21 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370541,http://archival.sl.nsw.gov.au/Details/archive/110369628,0,,demonstrations|Antinuclear movement--Australia.|Anti-apartheid movements--Australia.,
ON 160/Item 0906,0906,ITEM,"Item 0906: Tribune negatives including launch of Women Employment Practices report and Tricia Caswell, March-August 1985",1055142,110370543,March-August 1985,1985-01-01 00:00:00,1985-12-31 00:00:00,15 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370543,http://archival.sl.nsw.gov.au/Details/archive/110369628,0,,book launches|women,
ON 160/Item 0907,0907,ITEM,"Item 0907: Tribune negatives including People For Nuclear Disarmament and Defend Medicare Committee meetings, [ca. 1984-1985]",1055139,110370540,ca. 1984-1985,1984-01-01 00:00:00,1985-12-31 00:00:00,29 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370540,http://archival.sl.nsw.gov.au/Details/archive/110369628,0,,meetings|committees & inquiries|Nuclear disarmament--Australia.,
ON 160/Item 0908,0908,ITEM,"Item 0908: Tribune negatives including book launch and Tribune workers, April 1985",1055144,110370544,April 1985,1985-01-01 00:00:00,1985-12-31 00:00:00,27 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370544,http://archival.sl.nsw.gov.au/Details/archive/110369628,0,,book launches|newspaper sellers,
ON 160/Item 0910,0910,ITEM,"Item 0910: Tribune negatives including Greenpeace ship and boat, Sydney, New South Wales and D'Escoto, December 1985",1055145,110370545,December 1985,1985-01-01 00:00:00,1985-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370545,http://archival.sl.nsw.gov.au/Details/archive/110369628,0,,activists|ships|boats|Peace movements--Australia.,
ON 160/Item 0911,0911,ITEM,"Item 0911: Tribune negatives including Intervention magazine book launch, 1984-1985",1055149,110370547,1984-1985,1984-01-01 00:00:00,1985-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370547,http://archival.sl.nsw.gov.au/Details/archive/110369628,0,,book launches|men|women,
