series_number,part_number,item_number,level,title,call_number,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,description,subjects,topics,people,places
02,01,0001,ITEM,"Item 0001: Tribune negatives including suburban railways and womens demonstration, May-June 1975",ON 160/Item 0001,1030866,110368843,May-June 1975,1975-01-01 00:00:00,1975-12-31 00:00:00,50 negatives,http://archival.sl.nsw.gov.au/Details/archive/110368843,http://archival.sl.nsw.gov.au/Details/archive/110368842,50,FL4487737|FL4487738|FL4487739|FL4487740|FL4487741|FL4487742|FL4487743|FL4487744|FL4487745|FL4487746|FL4487747|FL4487748|FL4487749|FL4487750|FL4487751|FL4487752|FL4487753|FL4487754|FL4487755|FL4487756|FL4487757|FL4487758|FL4487759|FL4487760|FL4487761|FL4487762|FL4487763|FL4487764|FL4487765|FL4487766|FL4487767|FL4487768|FL4487769|FL4487770|FL4487771|FL4487772|FL4487773|FL4487774|FL4487775|FL4487776|FL4487777|FL4487778|FL4487779|FL4487780|FL4487781|FL4487782|FL4487783|FL4487784|FL4487785|FL4487786,"Includes:|Trains - suburban, June 1975|Railways, suburban, about June 1975",Railroads--New South Wales--Sydney.|Demonstrations--New South Wales--Sydney--Pictorial works|Women's rights--New South Wales.,trains|railways|women,,
02,01,0002,ITEM,"Item 0002: Tribune negatives including portraits of Joy Ross, Julie Rigg, and Jenny Burt, and A. W. Hansor glove factory, Newcastle, New South Wales, November 1974-July 1975",ON 160/Item 0002,1030879,110368855,November 1974-July 1975,1974-01-01 00:00:00,1975-12-31 00:00:00,27 negatives,http://archival.sl.nsw.gov.au/Details/archive/110368855,http://archival.sl.nsw.gov.au/Details/archive/110368842,27,FL4490332|FL4490335|FL4490336|FL4490338|FL4490339|FL4490340|FL4490341|FL4490342|FL4490343|FL4490344|FL4490345|FL4490346|FL4490347|FL4490348|FL4490349|FL4490350|FL4490351|FL4490352|FL4490353|FL4490354|FL4490355|FL4490356|FL4490358|FL4490359|FL4490360|FL4490361|FL4490362,"Includes:|A. W. Hansor - Industrial glove factory, Newcastle, November 1974|Joy Ross, ca. December 1974|Julie Rigg - picnic, July 1975|Jenny Burt - leaving for Frankfurt, November 1974",Factories--New South Wales.|Adult Females,,,
02,01,0003,ITEM,"Item 0003: Tribune negatives including portraits of Laurie Carmichael and Joe Petty, and Bob Hawke at Teacher's demonstration, ca. 1975",ON 160/Item 0003,1030881,110368857,ca. 1975,1974-01-01 00:00:00,1975-12-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110368857,http://archival.sl.nsw.gov.au/Details/archive/110368842,35,FL4486998|FL4487003|FL4487006|FL4487009|FL4487013|FL4487014|FL4487016|FL4487017|FL4487020|FL4487023|FL4487030|FL4487034|FL4487035|FL4487036|FL4487038|FL4487040|FL4487043|FL4487045|FL4487046|FL4487048|FL4487050|FL4487052|FL4487053|FL4487055|FL4487056|FL4487058|FL4487059|FL4487062|FL4487065|FL4487069|FL4487071|FL4487072|FL4487074|FL4487075|FL4487077,"Includes:|Bob Hawke (Teacher's demo)|Grafitti : ""I'm younger than you please listen""|Laurie Carmichael|Joe Petty near car, April 1975",Demonstrations--New South Wales--Sydney--Pictorial works,graffiti,"Hawke, Bob, 1929-|Carmichael, Laurie",
02,01,0004,ITEM,"Item 0004: Tribune negatives including opening of Liverpool Womens Health Centre, 1975",ON 160/Item 0004,1038165,110369126,1975,1975-01-01 00:00:00,1975-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369126,http://archival.sl.nsw.gov.au/Details/archive/110368842,40,FL4487165|FL4487173|FL4487176|FL4487181|FL4487183|FL4487184|FL4487185|FL4487186|FL4487187|FL4487188|FL4487189|FL4487190|FL4487191|FL4487192|FL4487193|FL4487194|FL4487195|FL4487196|FL4487197|FL4487198|FL4487199|FL4487200|FL4487201|FL4487202|FL4487203|FL4487204|FL4487205|FL4487206|FL4487207|FL4487208|FL4487209|FL4487210|FL4487211|FL4487212|FL4487213|FL4487214|FL4487215|FL4487216|FL4487217|FL4487218,"Includes:|Judy McLean at Liverpool Womens Health Centre.|Betty Pybus at opening Liverpool Womens Health Centre.|Liverpool Women's Health Centre opening|Nola Cooper at Liverpool Womens Health Centre.|Jenny Burt at opening, Liverpool Womens Health Centre.|John Carmody at Liverpool Womens Health Centre.|Geoffrey Davis at opening, Liverpool Womens Health Centre.|Margaret Hooks|Fairleigh Arnold (A.W.B.C.) at Liverpool Womens Health Centre.|Margot Moore at opening Liverpool Womens Health Centre.",Women's health services--New South Wales--Sydney.,health centres,,
02,01,0005,ITEM,"Item 0005: Tribune negatives including Margot Knox and Barbara Leavy [Barbara Levy?], July 1974",ON 160/Item 0005,1038170,110369127,July 1974,1974-01-01 00:00:00,1974-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369127,http://archival.sl.nsw.gov.au/Details/archive/110368842,41,FL4489315|FL4489320|FL4489321|FL4489323|FL4489324|FL4489326|FL4489327|FL4489329|FL4489332|FL4489335|FL4489336|FL4489339|FL4489341|FL4489343|FL4489344|FL4489346|FL4489348|FL4489349|FL4489351|FL4489352|FL4489354|FL4489356|FL4489358|FL4489359|FL4489361|FL4489362|FL4489364|FL4489366|FL4489367|FL4489368|FL4489369|FL4489370|FL4489371|FL4489372|FL4489373|FL4489374|FL4489375|FL4489376|FL4489377|FL4489378|FL4489379,"Includes:|Margot Knox, July 1974|Barbara Leavy [Levy?], July 1974|Original negative sleeve titled Barbara Leavy [Levy?], Margo Knox, garage, July 74",,portraits,,
02,01,0006,ITEM,"Item 0006: Tribune negatives including shop assistant at Coles and Judy Mundey, July 1974",ON 160/Item 0006,1038177,110369129,July 1974,1974-01-01 00:00:00,1974-12-31 00:00:00,17 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369129,http://archival.sl.nsw.gov.au/Details/archive/110368842,17,FL4487682|FL4487683|FL4487684|FL4487685|FL4487686|FL4487687|FL4487688|FL4487689|FL4487690|FL4487691|FL4487692|FL4487693|FL4487694|FL4487695|FL4487696|FL4487697|FL4487698,"Includes:|Julie Rigg with Joe, July 1974|Rabbit|Shop assistant, Coles, July 1974|Barbara Alysen showing J. Mundey typesetting|Judy Mundey, July 1974|Alison Hughes with Kate Jennings, July 1974",,shop assistants,"Mundey, Judith Ann, 1944-",
02,01,0007,ITEM,"Item 0007: Tribune negatives including Martha Ansara and Women's Film Workshop, May 1974 / photographed by Anne",ON 160/Item 0007,1038179,110369131,May 1974,1974-01-01 00:00:00,1974-12-31 00:00:00,24 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369131,http://archival.sl.nsw.gov.au/Details/archive/110368842,24,FL4486845|FL4486846|FL4486847|FL4486848|FL4486849|FL4486850|FL4486851|FL4486852|FL4486853|FL4486854|FL4486855|FL4486856|FL4486857|FL4486858|FL4486859|FL4486860|FL4486861|FL4486862|FL4486863|FL4486864|FL4486865|FL4486866|FL4486867|FL4486868,"Includes:|Women's Film Workshop, May 1974|Wendy Martin, Control, May 1974|Barbara Alysen, May 1974|Martha Ansara (with Lee), May 1974",,portraits,,
02,01,0008,ITEM,"Item 0008: Tribune negatives including Women's Film Workshop, July 1974 / photographed by Anne",ON 160/Item 0008,1038180,110369132,July 1974,1974-01-01 00:00:00,1974-12-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369132,http://archival.sl.nsw.gov.au/Details/archive/110368842,35,FL4489406|FL4489417|FL4489419|FL4489424|FL4489427|FL4489429|FL4489432|FL4489433|FL4489435|FL4489437|FL4489441|FL4489443|FL4489446|FL4489449|FL4489456|FL4489459|FL4489462|FL4489464|FL4489468|FL4489470|FL4489472|FL4489476|FL4489478|FL4489481|FL4489483|FL4489485|FL4489488|FL4489489|FL4489492|FL4489494|FL4489496|FL4489497|FL4489498|FL4489499|FL4489500,"Includes:|Ansara at Women's Film Workshop, July 1974|Dany Torsh, Women's Film Workshop, July 74|Women's Film Workshop, July 1974",,portraits,,
02,01,0009,ITEM,"Item 0009: Tribune negatives including Women's Liberation General Meeting, March 1974 / photographed by Anne",ON 160/Item 0009,1038181,110369133,March 1974,1974-01-01 00:00:00,1974-12-31 00:00:00,32 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369133,http://archival.sl.nsw.gov.au/Details/archive/110368842,32,FL4489912|FL4489913|FL4489914|FL4489915|FL4489916|FL4489917|FL4489918|FL4489919|FL4489920|FL4489921|FL4489922|FL4489923|FL4489924|FL4489925|FL4489926|FL4489927|FL4489928|FL4489929|FL4489930|FL4489931|FL4489932|FL4489933|FL4489934|FL4489935|FL4489936|FL4489937|FL4489938|FL4489939|FL4489940|FL4489941|FL4489942|FL4489943,"Includes:|Women's Liberation General Meeting, March 1974|Betty Pybus at Women's Liberation General Meeting, March 1974|Original negative sleeve titled Anne, Womens House, March 74.",Women's rights--New South Wales.,portraits|posters & placards,,
02,01,0010,ITEM,"Item 0010: Tribune negatives including Women's Liberation General Meeting, 1974 / photographed by Anne",ON 160/Item 0010,1038182,110369134,1974,1974-01-01 00:00:00,1974-12-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369134,http://archival.sl.nsw.gov.au/Details/archive/110368842,35,FL4488034|FL4488038|FL4488040|FL4488042|FL4488045|FL4488046|FL4488047|FL4488048|FL4488049|FL4488051|FL4488052|FL4488053|FL4488054|FL4488055|FL4488056|FL4488057|FL4488058|FL4488059|FL4488060|FL4488061|FL4488062|FL4488063|FL4488064|FL4488065|FL4488066|FL4488067|FL4488068|FL4488069|FL4488070|FL4488071|FL4488072|FL4488073|FL4488074|FL4488075|FL4488076,"Includes:|Jenny Thornley, film|Women's Liberation General Meeting, March 1974|Joyce Stevens, film",Women's rights--Pictorial works.,portraits,,
