call_number,item_number,level,title,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,subjects,people
ON 160/Item 0401,0401,ITEM,"Item 0401: Tribune negatives including Land Rights Conference and Aboriginal Islander Dance Group, March 1979",1045607,110369654,March 1979,1979-01-01 00:00:00,1979-12-31 00:00:00,30 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369654,http://archival.sl.nsw.gov.au/Details/archive/110369617,0,,conventions|land rights|Aboriginal peoples (Australians),
ON 160/Item 0402,0402,ITEM,"Item 0402: Tribune negatives including International Woman's Day, Sydney, March 1979",1045628,110369670,March 1979,1979-01-01 00:00:00,1979-12-31 00:00:00,37 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369670,http://archival.sl.nsw.gov.au/Details/archive/110369617,0,,women|demonstrations,
ON 160/Item 0403,0403,ITEM,"Item 0403: Tribune negatives including McKinnon protest, Sydney, March 1979",1045629,110369671,March 1979,1979-01-01 00:00:00,1979-12-31 00:00:00,19 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369671,http://archival.sl.nsw.gov.au/Details/archive/110369617,0,,demonstrations|demonstrators (political),
ON 160/Item 0404,0404,ITEM,"Item 0404: Tribune negatives including Tribune readers and David Bell, March 1979",1045630,110369672,March 1979,1979-01-01 00:00:00,1979-12-31 00:00:00,33 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369672,http://archival.sl.nsw.gov.au/Details/archive/110369617,0,,newspapers|portraits,
ON 160/Item 0405,0405,ITEM,"Item 0405: Tribune negatives including newspaper sellers, March 1979",1045631,110369673,March 1979,1979-01-01 00:00:00,1979-12-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369673,http://archival.sl.nsw.gov.au/Details/archive/110369617,0,,newspapers|newspaper sellers,
ON 160/Item 0406,0406,ITEM,"Item 0406: Tribune negatives including International Woman's Day, March 1979",1045632,110369674,March 1979,1979-01-01 00:00:00,1979-12-31 00:00:00,20 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369674,http://archival.sl.nsw.gov.au/Details/archive/110369617,0,,women|demonstrations|Women's rights--Australia.,
ON 160/Item 0407,0407,ITEM,"Item 0407: Tribune negatives including abortion demonstrations, Sydney New South Wales and Canberra, Australian Capital Territory, March 1979",1045633,110369675,March 1979,1979-01-01 00:00:00,1979-12-31 00:00:00,26 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369675,http://archival.sl.nsw.gov.au/Details/archive/110369617,0,,abortion|demonstrations,
ON 160/Item 0408,0408,ITEM,"Item 0408: Tribune negatives including Womens' Liberation Conference and community health demonstration, Sydney, March 1979",1045634,110369676,March 1979,1979-01-01 00:00:00,1979-12-31 00:00:00,33 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369676,http://archival.sl.nsw.gov.au/Details/archive/110369617,0,,women|conventions|demonstrations,
ON 160/Item 0409,0409,ITEM,"Item 0409: Tribune negatives including Malaysian Air systems office picket, March 1979",1045635,110369677,March 1979,1979-01-01 00:00:00,1979-12-31 00:00:00,37 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369677,http://archival.sl.nsw.gov.au/Details/archive/110369617,0,,workers|pickets,
ON 160/Item 0410,0410,ITEM,"Item 0410: Tribune negatives including unemployed demonstration and postal workers meeting, March 1979",1045637,110369678,March 1979,1979-01-01 00:00:00,1979-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369678,http://archival.sl.nsw.gov.au/Details/archive/110369617,0,,demonstrations|meetings|postal workers|unemployed people,
ON 160/Item 0411,0411,ITEM,"Item 0411: Tribune negatives including uranium mobilisation, Sydney, New South Wales, April-May 1979",1045640,110369681,April-May 1979,1979-01-01 00:00:00,1979-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369681,http://archival.sl.nsw.gov.au/Details/archive/110369617,0,,uranium|demonstrations,
ON 160/Item 0412,0412,ITEM,"Item 0412: Tribune negatives including uranium mobilisation, Sydney, New South Wales, April-May 1979",1045641,110369682,April-May 1979,1979-01-01 00:00:00,1979-12-31 00:00:00,18 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369682,http://archival.sl.nsw.gov.au/Details/archive/110369617,0,,uranium|demonstrations,
ON 160/Item 0413,0413,ITEM,"Item 0413: Tribune negatives including uranium mobilisation, Melbourne, Victoria, April-May 1979",1045642,110369683,April-May 1979,1979-01-01 00:00:00,1979-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369683,http://archival.sl.nsw.gov.au/Details/archive/110369617,0,,uranium|demonstrations,
ON 160/Item 0414,0414,ITEM,"Item 0414: Tribune negatives including uranium mobilisation, Wollongong and Newcastle, New South Wales, April-May 1979",1045644,110369684,April-May 1979,1979-01-01 00:00:00,1979-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369684,http://archival.sl.nsw.gov.au/Details/archive/110369617,0,,uranium|demonstrations,
ON 160/Item 0415,0415,ITEM,"Item 0415: Tribune negatives including Vietnamese right wing and Anzac Day, April-May 1979",1045645,110369685,April-May 1979,1979-01-01 00:00:00,1979-12-31 00:00:00,26 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369685,http://archival.sl.nsw.gov.au/Details/archive/110369617,0,,processions|Vietnamese people|military parades,
ON 160/Item 0416,0416,ITEM,"Item 0416: Tribune negatives including Vietnamese right wing and Anzac Day, April-May 1979",1045646,110369686,April-May 1979,1979-01-01 00:00:00,1979-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369686,http://archival.sl.nsw.gov.au/Details/archive/110369617,0,,processions|military parades|Vietnamese people,
