call_number,item_number,level,title,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,subjects,people
ON 160/Item 0651,0651,ITEM,"Item 0651: Tribune negatives including murals at Woolloomooloo, New South Wales and doctors at Trade Union Medical Co-operative Centre, 1982",1046118,110370036,1982,1982-01-01 00:00:00,1982-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370036,http://archival.sl.nsw.gov.au/Details/archive/110369622,0,,murals|doctors (medical),
ON 160/Item 0652,0652,ITEM,"Item 0652: Tribune negatives including Falwell meeting Fred Nile, Parliament House, Sydney, New South Wales, April-June 1982",1046119,110370037,April-June 1982,1982-01-01 00:00:00,1982-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370037,http://archival.sl.nsw.gov.au/Details/archive/110369622,0,,politicians|demonstrations,
ON 160/Item 0653,0653,ITEM,"Item 0653: Tribune negatives including Maritime workers, Cockatoo Island dockyards, and Lang Hancock's 73rd Birthday, Sydney, New South Wales, June-August 1982",1046121,110370038,June-August 1982,1982-01-01 00:00:00,1982-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370038,http://archival.sl.nsw.gov.au/Details/archive/110369622,0,,workers|men,
ON 160/Item 0654,0654,ITEM,"Item 0654: Tribune negatives including Royal Prince Alfred Hospital cuts protest and nurses at New South Wales Council regarding cuts, Sydney, New South Wales, June-July 1982",1046125,110370041,June-July 1982,1982-01-01 00:00:00,1982-12-31 00:00:00,42 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370041,http://archival.sl.nsw.gov.au/Details/archive/110369622,0,,nurses|demonstrations,
ON 160/Item 0655,0655,ITEM,"Item 0655: Tribune negatives including PLO and Lebanese protests, Sydney, New South Wales, July-August 1982",1050828,110370074,July-August 1982,1982-01-01 00:00:00,1982-12-31 00:00:00,32 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370074,http://archival.sl.nsw.gov.au/Details/archive/110369622,0,,Lebanese people|demonstrations,
ON 160/Item 0656,0656,ITEM,"Item 0656: Tribune negatives including Aborigines protest regarding Queensland Travel and land rights, August 1982",1050830,110370075,August 1982,1982-01-01 00:00:00,1982-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370075,http://archival.sl.nsw.gov.au/Details/archive/110369622,0,,Aboriginal peoples (Australians)|demonstrations|land rights,
ON 160/Item 0657,0657,ITEM,"Item 0657: Tribune negatives including nurses psychiatric protest and Hiroshima Candlelight Parade, August 1982",1050831,110370076,August 1982,1982-01-01 00:00:00,1982-12-31 00:00:00,24 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370076,http://archival.sl.nsw.gov.au/Details/archive/110369622,0,,demonstrations|hospitals,
ON 160/Item 0658,0658,ITEM,"Item 0658: Tribune negatives including nuclear free Pacific protests, July 1982",1050832,110370077,July 1982,1982-01-01 00:00:00,1982-12-31 00:00:00,44 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370077,http://archival.sl.nsw.gov.au/Details/archive/110369622,0,,demonstrations|nuclear weapons tests,
ON 160/Item 0659,0659,ITEM,"Item 0659: Tribune negatives including oil refinery, Kwinana, Western Australia, 1982",1050835,110370079,1982,1982-01-01 00:00:00,1982-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370079,http://archival.sl.nsw.gov.au/Details/archive/110369622,0,,oil refineries|landscapes (views),
ON 160/Item 0660,0660,ITEM,"Item 0660: Tribune negatives including The Age and The Herald & Weekly Times buildings, [ca. 1982]",1050836,110370080,1982,1982-01-01 00:00:00,1982-12-31 00:00:00,19 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370080,http://archival.sl.nsw.gov.au/Details/archive/110369622,0,,newspaper buildings|mass media,
